,Cadena_Productiva
11450,GANADERIA
11451,GANADERIA
11452,GANADERIA
11453,GANADERIA
11454,GANADERIA
11455,GANADERIA
11456,GANADERIA
11457,GANADERIA
11458,GANADERIA
11459,GANADERIA
11460,GANADERIA
11461,GANADERIA
11462,GANADERIA
11463,GANADERIA
11464,GANADERIA
11465,GANADERIA
11466,GANADERIA
11467,GANADERIA
11468,GANADERIA
11469,GANADERIA
11470,GANADERIA
11471,GANADERIA
11472,GANADERIA
11473,GANADERIA
11474,GANADERIA
11475,GANADERIA
11476,GANADERIA
11477,GANADERIA
11478,GANADERIA
11479,GANADERIA
11480,GANADERIA
11481,GANADERIA
11482,GANADERIA
11483,GANADERIA
11484,GANADERIA
11485,GANADERIA
11486,GANADERIA
11487,GANADERIA
11488,GANADERIA
11489,GANADERIA
11490,GANADERIA
11491,GANADERIA
11492,GANADERIA
11493,GANADERIA
11494,GANADERIA
11495,GANADERIA
11496,GANADERIA
11497,GANADERIA
11498,GANADERIA
11499,GANADERIA
11500,GANADERIA
11501,GANADERIA
11502,GANADERIA
11503,GANADERIA
11504,GANADERIA
11505,GANADERIA
11506,GANADERIA
11507,GANADERIA
11508,GANADERIA
11509,GANADERIA
11510,GANADERIA
11511,GANADERIA
11512,GANADERIA
11513,GANADERIA
11514,GANADERIA
11515,GANADERIA
11516,GANADERIA
11517,GANADERIA
11518,GANADERIA
11519,GANADERIA
11520,GANADERIA
11521,GANADERIA
11522,GANADERIA
11523,GANADERIA
11524,GANADERIA
11525,GANADERIA
11526,GANADERIA
11527,GANADERIA
11528,GANADERIA
11529,GANADERIA
11530,GANADERIA
11531,GANADERIA
11532,GANADERIA
11533,GANADERIA
11534,GANADERIA
11535,GANADERIA
11536,GANADERIA
11537,GANADERIA
11538,GANADERIA
11539,GANADERIA
11540,GANADERIA
11541,GANADERIA
11542,GANADERIA
11543,GANADERIA
11544,GANADERIA
11545,GANADERIA
11546,GANADERIA
11547,GANADERIA
11548,GANADERIA
11549,GANADERIA
11550,GANADERIA
11551,GANADERIA
11552,GANADERIA
11553,GANADERIA
11554,GANADERIA
11555,GANADERIA
11556,GANADERIA
11557,GANADERIA
11558,GANADERIA
11559,GANADERIA
11560,GANADERIA
11561,GANADERIA
11562,GANADERIA
11563,GANADERIA
11565,GANADERIA
11566,GANADERIA
11567,GANADERIA
11568,GANADERIA
11569,GANADERIA
11570,GANADERIA
11571,GANADERIA
11572,GANADERIA
11573,GANADERIA
11574,GANADERIA
11575,GANADERIA
11576,GANADERIA
11577,GANADERIA
11578,GANADERIA
11579,GANADERIA
11580,GANADERIA
11581,GANADERIA
11582,GANADERIA
11583,GANADERIA
11584,GANADERIA
11585,GANADERIA
11586,GANADERIA
11587,GANADERIA
11588,GANADERIA
11589,GANADERIA
11590,GANADERIA
11591,GANADERIA
11592,GANADERIA
11593,GANADERIA
11594,GANADERIA
11595,GANADERIA
11596,GANADERIA
11597,GANADERIA
11598,GANADERIA
11599,GANADERIA
11600,GANADERIA
11601,GANADERIA
11602,GANADERIA
11603,GANADERIA
58,GANADERIADP
105,GANADERIADP
169,GANADERIADP
501,GANADERIADP
514,GANADERIADP
575,GANADERIADP
577,GANADERIADP
580,GANADERIADP
581,GANADERIADP
583,GANADERIADP
585,GANADERIADP
586,GANADERIADP
587,GANADERIADP
592,GANADERIADP
599,GANADERIADP
602,GANADERIADP
607,GANADERIADP
715,GANADERIADP
1238,GANADERIADP
1256,GANADERIADP
1408,GANADERIADP
1453,GANADERIADP
1497,GANADERIADP
1744,GANADERIADP
1747,GANADERIADP
1748,GANADERIADP
1750,GANADERIADP
1751,GANADERIADP
1760,GANADERIADP
1783,GANADERIADP
1784,GANADERIADP
1785,GANADERIADP
1786,GANADERIADP
1787,GANADERIADP
1788,GANADERIADP
1790,GANADERIADP
1836,GANADERIADP
1837,GANADERIADP
1838,GANADERIADP
1840,GANADERIADP
1845,GANADERIADP
1850,GANADERIADP
1883,GANADERIADP
1913,GANADERIADP
1923,GANADERIADP
1924,GANADERIADP
1925,GANADERIADP
1926,GANADERIADP
1927,GANADERIADP
1955,GANADERIADP
1959,GANADERIADP
1960,GANADERIADP
1963,GANADERIADP
1968,GANADERIADP
1974,GANADERIADP
1976,GANADERIADP
1979,GANADERIADP
1980,GANADERIADP
1981,GANADERIADP
1982,GANADERIADP
1985,GANADERIADP
1989,GANADERIADP
1990,GANADERIADP
1991,GANADERIADP
1995,GANADERIADP
1998,GANADERIADP
2047,GANADERIADP
2050,GANADERIADP
2057,GANADERIADP
2058,GANADERIADP
2059,GANADERIADP
2068,GANADERIADP
2073,GANADERIADP
2076,GANADERIADP
2078,GANADERIADP
2080,GANADERIADP
2082,GANADERIADP
2106,GANADERIADP
2107,GANADERIADP
2110,GANADERIADP
2111,GANADERIADP
2112,GANADERIADP
2116,GANADERIADP
2117,GANADERIADP
2122,GANADERIADP
2123,GANADERIADP
2125,GANADERIADP
2126,GANADERIADP
2127,GANADERIADP
2128,GANADERIADP
2129,GANADERIADP
2130,GANADERIADP
2131,GANADERIADP
2132,GANADERIADP
2133,GANADERIADP
2157,GANADERIADP
2158,GANADERIADP
2162,GANADERIADP
2169,GANADERIADP
2176,GANADERIADP
2185,GANADERIADP
2189,GANADERIADP
2191,GANADERIADP
2210,GANADERIADP
2211,GANADERIADP
2212,GANADERIADP
2213,GANADERIADP
2219,GANADERIADP
2241,GANADERIADP
2250,GANADERIADP
2266,GANADERIADP
2274,GANADERIADP
2275,GANADERIADP
2278,GANADERIADP
2279,GANADERIADP
2283,GANADERIADP
2285,GANADERIADP
2286,GANADERIADP
2299,GANADERIADP
2301,GANADERIADP
2333,GANADERIADP
2336,GANADERIADP
2341,GANADERIADP
2366,GANADERIADP
2437,GANADERIADP
2440,GANADERIADP
2455,GANADERIADP
2469,GANADERIADP
2476,GANADERIADP
2478,GANADERIADP
2480,GANADERIADP
2483,GANADERIADP
2485,GANADERIADP
2489,GANADERIADP
2492,GANADERIADP
2497,GANADERIADP
2498,GANADERIADP
2499,GANADERIADP
2502,GANADERIADP
2507,GANADERIADP
2510,GANADERIADP
2520,GANADERIADP
2541,GANADERIADP
2542,GANADERIADP
2545,GANADERIADP
2547,GANADERIADP
2556,GANADERIADP
2557,GANADERIADP
2560,GANADERIADP
2561,GANADERIADP
2562,GANADERIADP
2563,GANADERIADP
2574,GANADERIADP
2581,GANADERIADP
2593,GANADERIADP
2634,GANADERIADP
2649,GANADERIADP
2652,GANADERIADP
2715,GANADERIADP
2719,GANADERIADP
2720,GANADERIADP
2721,GANADERIADP
2722,GANADERIADP
2723,GANADERIADP
2731,GANADERIADP
2733,GANADERIADP
2794,GANADERIADP
2804,GANADERIADP
2827,GANADERIADP
2829,GANADERIADP
2830,GANADERIADP
2831,GANADERIADP
2832,GANADERIADP
2833,GANADERIADP
2834,GANADERIADP
2857,GANADERIADP
2860,GANADERIADP
2863,GANADERIADP
2869,GANADERIADP
2877,GANADERIADP
2884,GANADERIADP
2890,GANADERIADP
2893,GANADERIADP
2894,GANADERIADP
2898,GANADERIADP
2900,GANADERIADP
2911,GANADERIADP
2933,GANADERIADP
3002,GANADERIADP
3010,GANADERIADP
3012,GANADERIADP
3014,GANADERIADP
3025,GANADERIADP
3029,GANADERIADP
3047,GANADERIADP
3074,GANADERIADP
3089,GANADERIADP
3090,GANADERIADP
3096,GANADERIADP
3097,GANADERIADP
3099,GANADERIADP
3100,GANADERIADP
3110,GANADERIADP
3120,GANADERIADP
3141,GANADERIADP
3144,GANADERIADP
3146,GANADERIADP
3174,GANADERIADP
3178,GANADERIADP
3190,GANADERIADP
3191,GANADERIADP
3201,GANADERIADP
3209,GANADERIADP
3211,GANADERIADP
3257,GANADERIADP
3275,GANADERIADP
3278,GANADERIADP
3280,GANADERIADP
3284,GANADERIADP
3314,GANADERIADP
3315,GANADERIADP
3345,GANADERIADP
3363,GANADERIADP
3385,GANADERIADP
3386,GANADERIADP
3388,GANADERIADP
3389,GANADERIADP
3390,GANADERIADP
3394,GANADERIADP
3402,GANADERIADP
3408,GANADERIADP
3423,GANADERIADP
3424,GANADERIADP
3429,GANADERIADP
3463,GANADERIADP
3465,GANADERIADP
3472,GANADERIADP
3479,GANADERIADP
3480,GANADERIADP
3493,GANADERIADP
3498,GANADERIADP
3501,GANADERIADP
3523,GANADERIADP
3532,GANADERIADP
3534,GANADERIADP
3535,GANADERIADP
3537,GANADERIADP
3552,GANADERIADP
3553,GANADERIADP
3554,GANADERIADP
3557,GANADERIADP
3558,GANADERIADP
3561,GANADERIADP
3567,GANADERIADP
3572,GANADERIADP
3573,GANADERIADP
3574,GANADERIADP
3575,GANADERIADP
3613,GANADERIADP
3615,GANADERIADP
3618,GANADERIADP
3623,GANADERIADP
3624,GANADERIADP
3640,GANADERIADP
3722,GANADERIADP
3725,GANADERIADP
3728,GANADERIADP
3737,GANADERIADP
70,ACUICULTURA
250,ACUICULTURA
1285,ACUICULTURA
1289,ACUICULTURA
1291,ACUICULTURA
1293,ACUICULTURA
1294,ACUICULTURA
1297,ACUICULTURA
1300,ACUICULTURA
1301,ACUICULTURA
1303,ACUICULTURA
1304,ACUICULTURA
1305,ACUICULTURA
1588,ACUICULTURA
1791,ACUICULTURA
2003,ACUICULTURA
2004,ACUICULTURA
2005,ACUICULTURA
2006,ACUICULTURA
2007,ACUICULTURA
2009,ACUICULTURA
2010,ACUICULTURA
2011,ACUICULTURA
2015,ACUICULTURA
2016,ACUICULTURA
2018,ACUICULTURA
2019,ACUICULTURA
2020,ACUICULTURA
2021,ACUICULTURA
2075,ACUICULTURA
2079,ACUICULTURA
2179,ACUICULTURA
2221,ACUICULTURA
2460,ACUICULTURA
2546,ACUICULTURA
2550,ACUICULTURA
2552,ACUICULTURA
2654,ACUICULTURA
2655,ACUICULTURA
2656,ACUICULTURA
2657,ACUICULTURA
2658,ACUICULTURA
2659,ACUICULTURA
2662,ACUICULTURA
2664,ACUICULTURA
2665,ACUICULTURA
2666,ACUICULTURA
2668,ACUICULTURA
2669,ACUICULTURA
2672,ACUICULTURA
2673,ACUICULTURA
2675,ACUICULTURA
2676,ACUICULTURA
2678,ACUICULTURA
2679,ACUICULTURA
2680,ACUICULTURA
2682,ACUICULTURA
2683,ACUICULTURA
2684,ACUICULTURA
2686,ACUICULTURA
2687,ACUICULTURA
2689,ACUICULTURA
2691,ACUICULTURA
2692,ACUICULTURA
2693,ACUICULTURA
2754,ACUICULTURA
2756,ACUICULTURA
2759,ACUICULTURA
2760,ACUICULTURA
2762,ACUICULTURA
2763,ACUICULTURA
2835,ACUICULTURA
2836,ACUICULTURA
2837,ACUICULTURA
2839,ACUICULTURA
2859,ACUICULTURA
2865,ACUICULTURA
2899,ACUICULTURA
2903,ACUICULTURA
3007,ACUICULTURA
3009,ACUICULTURA
3013,ACUICULTURA
3031,ACUICULTURA
3037,ACUICULTURA
3038,ACUICULTURA
3042,ACUICULTURA
3045,ACUICULTURA
3125,ACUICULTURA
3140,ACUICULTURA
3145,ACUICULTURA
3173,ACUICULTURA
3181,ACUICULTURA
3182,ACUICULTURA
3466,ACUICULTURA
3474,ACUICULTURA
3481,ACUICULTURA
3491,ACUICULTURA
3516,ACUICULTURA
3625,ACUICULTURA
3724,ACUICULTURA
3726,ACUICULTURA
3727,ACUICULTURA
3739,ACUICULTURA
129,PLATANO
325,PLATANO
486,PLATANO
684,PLATANO
685,PLATANO
692,PLATANO
700,PLATANO
732,PLATANO
826,PLATANO
866,PLATANO
867,PLATANO
868,PLATANO
996,PLATANO
1111,PLATANO
1220,PLATANO
1273,PLATANO
1331,PLATANO
1466,PLATANO
1469,PLATANO
1470,PLATANO
1950,PLATANO
1951,PLATANO
1956,PLATANO
2049,PLATANO
2077,PLATANO
2087,PLATANO
2121,PLATANO
2124,PLATANO
2134,PLATANO
2161,PLATANO
2163,PLATANO
2166,PLATANO
2244,PLATANO
2245,PLATANO
2246,PLATANO
2248,PLATANO
2290,PLATANO
2293,PLATANO
2296,PLATANO
2297,PLATANO
2334,PLATANO
2354,PLATANO
2364,PLATANO
2367,PLATANO
2368,PLATANO
2369,PLATANO
2372,PLATANO
2448,PLATANO
2463,PLATANO
2549,PLATANO
2588,PLATANO
2694,PLATANO
2695,PLATANO
2701,PLATANO
2703,PLATANO
2753,PLATANO
2757,PLATANO
2764,PLATANO
2766,PLATANO
2767,PLATANO
2768,PLATANO
2769,PLATANO
2770,PLATANO
2771,PLATANO
2805,PLATANO
2811,PLATANO
2812,PLATANO
2813,PLATANO
2816,PLATANO
2817,PLATANO
2819,PLATANO
2820,PLATANO
2822,PLATANO
2824,PLATANO
2825,PLATANO
2826,PLATANO
2852,PLATANO
2853,PLATANO
2861,PLATANO
2895,PLATANO
2896,PLATANO
2905,PLATANO
2906,PLATANO
2923,PLATANO
2929,PLATANO
2931,PLATANO
3003,PLATANO
3049,PLATANO
3060,PLATANO
3061,PLATANO
3067,PLATANO
3078,PLATANO
3092,PLATANO
3098,PLATANO
3101,PLATANO
3102,PLATANO
3119,PLATANO
3124,PLATANO
3126,PLATANO
3158,PLATANO
3161,PLATANO
3175,PLATANO
3179,PLATANO
3222,PLATANO
3329,PLATANO
3392,PLATANO
3393,PLATANO
3395,PLATANO
3396,PLATANO
3413,PLATANO
3415,PLATANO
3416,PLATANO
3419,PLATANO
3464,PLATANO
3504,PLATANO
3515,PLATANO
3524,PLATANO
3560,PLATANO
3569,PLATANO
3570,PLATANO
3578,PLATANO
3585,PLATANO
3588,PLATANO
3590,PLATANO
3633,PLATANO
3646,PLATANO
3685,PLATANO
3723,PLATANO
7080,PLATANO
7081,PLATANO
7086,PLATANO
7100,PLATANO
7116,PLATANO
7131,PLATANO
7142,PLATANO
7144,PLATANO
7145,PLATANO
7149,PLATANO
7154,PLATANO
7491,PLATANO
7548,PLATANO
7555,PLATANO
7558,PLATANO
7572,PLATANO
7573,PLATANO
7594,PLATANO
7595,PLATANO
7727,PLATANO
7733,PLATANO
7735,PLATANO
7765,PLATANO
7808,PLATANO
7809,PLATANO
7846,PLATANO
7922,PLATANO
7947,PLATANO
7949,PLATANO
7951,PLATANO
7953,PLATANO
7956,PLATANO
7957,PLATANO
7958,PLATANO
7959,PLATANO
7960,PLATANO
7965,PLATANO
8057,PLATANO
8058,PLATANO
8059,PLATANO
8060,PLATANO
8062,PLATANO
8064,PLATANO
8071,PLATANO
8078,PLATANO
8079,PLATANO
8080,PLATANO
8088,PLATANO
8090,PLATANO
8093,PLATANO
8094,PLATANO
8097,PLATANO
8099,PLATANO
8100,PLATANO
8101,PLATANO
8103,PLATANO
8157,PLATANO
8213,PLATANO
8218,PLATANO
8219,PLATANO
8227,PLATANO
8236,PLATANO
8246,PLATANO
8256,PLATANO
8258,PLATANO
8262,PLATANO
8266,PLATANO
8267,PLATANO
8269,PLATANO
8314,PLATANO
8341,PLATANO
8366,PLATANO
8416,PLATANO
8420,PLATANO
8449,PLATANO
8453,PLATANO
8490,PLATANO
8491,PLATANO
8492,PLATANO
8493,PLATANO
8526,PLATANO
8538,PLATANO
8595,PLATANO
8597,PLATANO
8599,PLATANO
8610,PLATANO
8621,PLATANO
8671,PLATANO
8677,PLATANO
8678,PLATANO
8679,PLATANO
8681,PLATANO
8682,PLATANO
8683,PLATANO
8684,PLATANO
8685,PLATANO
8686,PLATANO
8687,PLATANO
8688,PLATANO
8689,PLATANO
8691,PLATANO
8693,PLATANO
8695,PLATANO
8696,PLATANO
8697,PLATANO
8698,PLATANO
8699,PLATANO
8700,PLATANO
8701,PLATANO
8703,PLATANO
8704,PLATANO
8705,PLATANO
8706,PLATANO
8707,PLATANO
8708,PLATANO
8709,PLATANO
8710,PLATANO
8711,PLATANO
8712,PLATANO
8713,PLATANO
8714,PLATANO
8717,PLATANO
8718,PLATANO
8719,PLATANO
8720,PLATANO
8723,PLATANO
8724,PLATANO
8725,PLATANO
8726,PLATANO
8727,PLATANO
8729,PLATANO
8731,PLATANO
8732,PLATANO
8734,PLATANO
8735,PLATANO
8736,PLATANO
8737,PLATANO
8738,PLATANO
8739,PLATANO
8744,PLATANO
8745,PLATANO
8747,PLATANO
8748,PLATANO
8749,PLATANO
8750,PLATANO
8751,PLATANO
8754,PLATANO
8755,PLATANO
8757,PLATANO
8758,PLATANO
8759,PLATANO
8760,PLATANO
8812,PLATANO
8820,PLATANO
8828,PLATANO
8830,PLATANO
8831,PLATANO
8856,PLATANO
8857,PLATANO
8858,PLATANO
8859,PLATANO
8860,PLATANO
8861,PLATANO
8862,PLATANO
8863,PLATANO
8865,PLATANO
8866,PLATANO
8867,PLATANO
8868,PLATANO
8869,PLATANO
8870,PLATANO
8875,PLATANO
8876,PLATANO
8877,PLATANO
8878,PLATANO
9128,PLATANO
9129,PLATANO
9130,PLATANO
9131,PLATANO
9132,PLATANO
9133,PLATANO
9134,PLATANO
9135,PLATANO
9136,PLATANO
9137,PLATANO
9139,PLATANO
9140,PLATANO
9141,PLATANO
9142,PLATANO
9143,PLATANO
9144,PLATANO
9145,PLATANO
9146,PLATANO
9147,PLATANO
9148,PLATANO
9150,PLATANO
9151,PLATANO
9152,PLATANO
9153,PLATANO
9154,PLATANO
9155,PLATANO
9156,PLATANO
9157,PLATANO
9158,PLATANO
9159,PLATANO
9160,PLATANO
9161,PLATANO
9162,PLATANO
9163,PLATANO
9164,PLATANO
9165,PLATANO
9166,PLATANO
9167,PLATANO
9168,PLATANO
9169,PLATANO
9170,PLATANO
9171,PLATANO
9172,PLATANO
9173,PLATANO
9174,PLATANO
9175,PLATANO
9176,PLATANO
9177,PLATANO
9178,PLATANO
9179,PLATANO
9180,PLATANO
9181,PLATANO
9182,PLATANO
9183,PLATANO
9184,PLATANO
9185,PLATANO
9186,PLATANO
9187,PLATANO
9188,PLATANO
9189,PLATANO
9190,PLATANO
9191,PLATANO
9192,PLATANO
9193,PLATANO
9194,PLATANO
9195,PLATANO
9196,PLATANO
9197,PLATANO
9198,PLATANO
9199,PLATANO
9200,PLATANO
9201,PLATANO
9202,PLATANO
9203,PLATANO
9204,PLATANO
9205,PLATANO
9206,PLATANO
9207,PLATANO
9208,PLATANO
9209,PLATANO
9210,PLATANO
9466,PLATANO
9608,PLATANO
9609,PLATANO
9610,PLATANO
9611,PLATANO
9612,PLATANO
9613,PLATANO
9614,PLATANO
9615,PLATANO
9617,PLATANO
9618,PLATANO
9620,PLATANO
9621,PLATANO
9622,PLATANO
9623,PLATANO
9625,PLATANO
9626,PLATANO
9627,PLATANO
9629,PLATANO
9630,PLATANO
9631,PLATANO
9632,PLATANO
9633,PLATANO
9634,PLATANO
9635,PLATANO
9637,PLATANO
9639,PLATANO
9640,PLATANO
9641,PLATANO
9642,PLATANO
9643,PLATANO
9644,PLATANO
9645,PLATANO
9646,PLATANO
9647,PLATANO
9648,PLATANO
9649,PLATANO
9650,PLATANO
9651,PLATANO
9652,PLATANO
9653,PLATANO
9654,PLATANO
9729,PLATANO
9730,PLATANO
9731,PLATANO
9732,PLATANO
9733,PLATANO
9734,PLATANO
9735,PLATANO
9736,PLATANO
9737,PLATANO
9738,PLATANO
9739,PLATANO
9740,PLATANO
9741,PLATANO
9742,PLATANO
9743,PLATANO
9744,PLATANO
9745,PLATANO
9746,PLATANO
9747,PLATANO
9748,PLATANO
9749,PLATANO
9750,PLATANO
9751,PLATANO
9752,PLATANO
9753,PLATANO
9754,PLATANO
9755,PLATANO
9756,PLATANO
9757,PLATANO
9758,PLATANO
9759,PLATANO
9760,PLATANO
9761,PLATANO
9762,PLATANO
9763,PLATANO
9764,PLATANO
9765,PLATANO
9849,PLATANO
9850,PLATANO
9851,PLATANO
9852,PLATANO
9853,PLATANO
9854,PLATANO
9876,PLATANO
9896,PLATANO
9897,PLATANO
9907,PLATANO
9929,PLATANO
9931,PLATANO
10632,PLATANO
10748,PLATANO
10749,PLATANO
10750,PLATANO
10758,PLATANO
12619,PLATANO
12814,PLATANO
12815,PLATANO
12817,PLATANO
12818,PLATANO
12821,PLATANO
12822,PLATANO
12824,PLATANO
12826,PLATANO
12831,PLATANO
12833,PLATANO
12840,PLATANO
12842,PLATANO
12846,PLATANO
12849,PLATANO
12853,PLATANO
12855,PLATANO
12857,PLATANO
12859,PLATANO
12862,PLATANO
12863,PLATANO
12868,PLATANO
12869,PLATANO
12870,PLATANO
12872,PLATANO
12873,PLATANO
12875,PLATANO
12876,PLATANO
12878,PLATANO
12879,PLATANO
12881,PLATANO
12882,PLATANO
12886,PLATANO
12888,PLATANO
12890,PLATANO
12892,PLATANO
12896,PLATANO
12897,PLATANO
12899,PLATANO
12902,PLATANO
12907,PLATANO
12908,PLATANO
12910,PLATANO
12911,PLATANO
12912,PLATANO
12913,PLATANO
12917,PLATANO
12918,PLATANO
12919,PLATANO
12920,PLATANO
12921,PLATANO
12925,PLATANO
12926,PLATANO
12931,PLATANO
12932,PLATANO
12933,PLATANO
12934,PLATANO
12935,PLATANO
12944,PLATANO
12945,PLATANO
12947,PLATANO
12948,PLATANO
12949,PLATANO
12950,PLATANO
12952,PLATANO
12954,PLATANO
12959,PLATANO
12960,PLATANO
12966,PLATANO
12999,PLATANO
13012,PLATANO
13016,PLATANO
13020,PLATANO
13029,PLATANO
13040,PLATANO
13053,PLATANO
13063,PLATANO
13065,PLATANO
13066,PLATANO
13071,PLATANO
13073,PLATANO
13074,PLATANO
13084,PLATANO
13092,PLATANO
13094,PLATANO
13096,PLATANO
13113,PLATANO
13117,PLATANO
13122,PLATANO
13125,PLATANO
13145,PLATANO
13151,PLATANO
13152,PLATANO
13161,PLATANO
13164,PLATANO
13177,PLATANO
13208,PLATANO
13225,PLATANO
13230,PLATANO
13234,PLATANO
13237,PLATANO
13238,PLATANO
13250,PLATANO
13260,PLATANO
13264,PLATANO
13266,PLATANO
13275,PLATANO
13280,PLATANO
13284,PLATANO
13291,PLATANO
13295,PLATANO
13296,PLATANO
13299,PLATANO
13304,PLATANO
13307,PLATANO
13309,PLATANO
13315,PLATANO
13330,PLATANO
13331,PLATANO
13353,PLATANO
13370,PLATANO
13377,PLATANO
13381,PLATANO
13400,PLATANO
13401,PLATANO
13402,PLATANO
13406,PLATANO
13410,PLATANO
13412,PLATANO
13413,PLATANO
13414,PLATANO
13415,PLATANO
13421,PLATANO
13439,PLATANO
13456,PLATANO
13459,PLATANO
13460,PLATANO
13468,PLATANO
13473,PLATANO
13481,PLATANO
13483,PLATANO
13484,PLATANO
13490,PLATANO
13497,PLATANO
13499,PLATANO
13502,PLATANO
13504,PLATANO
13508,PLATANO
13510,PLATANO
13539,PLATANO
13552,PLATANO
13554,PLATANO
13556,PLATANO
13561,PLATANO
13568,PLATANO
13573,PLATANO
13584,PLATANO
13587,PLATANO
13589,PLATANO
13608,PLATANO
13611,PLATANO
13615,PLATANO
13620,PLATANO
13631,PLATANO
13633,PLATANO
13634,PLATANO
13642,PLATANO
13649,PLATANO
13654,PLATANO
13670,PLATANO
13671,PLATANO
13674,PLATANO
13682,PLATANO
13686,PLATANO
13705,PLATANO
13706,PLATANO
13708,PLATANO
13711,PLATANO
13713,PLATANO
13715,PLATANO
13718,PLATANO
13721,PLATANO
13736,PLATANO
13744,PLATANO
13745,PLATANO
13746,PLATANO
13750,PLATANO
13758,PLATANO
13768,PLATANO
13771,PLATANO
13777,PLATANO
13778,PLATANO
13793,PLATANO
13802,PLATANO
13810,PLATANO
13811,PLATANO
13814,PLATANO
13819,PLATANO
13832,PLATANO
13834,PLATANO
13867,PLATANO
13868,PLATANO
13881,PLATANO
13885,PLATANO
13893,PLATANO
13905,PLATANO
13907,PLATANO
13916,PLATANO
13918,PLATANO
13929,PLATANO
13937,PLATANO
13949,PLATANO
13963,PLATANO
13964,PLATANO
13985,PLATANO
13992,PLATANO
14012,PLATANO
14016,PLATANO
14017,PLATANO
14025,PLATANO
14054,PLATANO
14067,PLATANO
14068,PLATANO
14069,PLATANO
14074,PLATANO
14083,PLATANO
14089,PLATANO
14091,PLATANO
14096,PLATANO
14099,PLATANO
14109,PLATANO
14122,PLATANO
14124,PLATANO
14152,PLATANO
14160,PLATANO
14167,PLATANO
14169,PLATANO
14173,PLATANO
14176,PLATANO
14180,PLATANO
14190,PLATANO
14191,PLATANO
14196,PLATANO
14198,PLATANO
14203,PLATANO
14207,PLATANO
14223,PLATANO
14224,PLATANO
14234,PLATANO
14239,PLATANO
14247,PLATANO
14256,PLATANO
14258,PLATANO
14274,PLATANO
14285,PLATANO
14287,PLATANO
14289,PLATANO
14296,PLATANO
14298,PLATANO
14305,PLATANO
14325,PLATANO
14326,PLATANO
14332,PLATANO
14337,PLATANO
14348,PLATANO
14363,PLATANO
14370,PLATANO
14375,PLATANO
14376,PLATANO
14379,PLATANO
14389,PLATANO
14390,PLATANO
14391,PLATANO
14394,PLATANO
14405,PLATANO
14406,PLATANO
14407,PLATANO
14409,PLATANO
14426,PLATANO
14429,PLATANO
14431,PLATANO
14435,PLATANO
14442,PLATANO
14444,PLATANO
14446,PLATANO
14465,PLATANO
14481,PLATANO
14584,PLATANO
14585,PLATANO
14586,PLATANO
14588,PLATANO
14590,PLATANO
14591,PLATANO
14594,PLATANO
14596,PLATANO
14597,PLATANO
14598,PLATANO
14600,PLATANO
14604,PLATANO
14605,PLATANO
14606,PLATANO
14608,PLATANO
262,NISPERO
389,PECUARIA
7435,PECUARIA
7494,PECUARIA
7554,PECUARIA
7564,PECUARIA
7568,PECUARIA
7575,PECUARIA
8343,PECUARIA
8570,PECUARIA
8591,PECUARIA
8600,PECUARIA
8627,PECUARIA
8783,PECUARIA
9376,PECUARIA
9842,PECUARIA
547,AGRICOLA
549,AGRICOLA
874,AGRICOLA
876,AGRICOLA
879,AGRICOLA
903,AGRICOLA
910,AGRICOLA
954,AGRICOLA
955,AGRICOLA
956,AGRICOLA
1075,AGRICOLA
1100,AGRICOLA
1178,AGRICOLA
1179,AGRICOLA
1182,AGRICOLA
1187,AGRICOLA
1189,AGRICOLA
1190,AGRICOLA
1192,AGRICOLA
1194,AGRICOLA
1195,AGRICOLA
1206,AGRICOLA
1565,AGRICOLA
1579,AGRICOLA
1581,AGRICOLA
1708,AGRICOLA
1711,AGRICOLA
1767,AGRICOLA
1769,AGRICOLA
1770,AGRICOLA
1772,AGRICOLA
1773,AGRICOLA
1774,AGRICOLA
1775,AGRICOLA
2271,AGRICOLA
2322,AGRICOLA
2331,AGRICOLA
2332,AGRICOLA
2373,AGRICOLA
2610,AGRICOLA
2617,AGRICOLA
2620,AGRICOLA
2624,AGRICOLA
2627,AGRICOLA
2628,AGRICOLA
2705,AGRICOLA
2706,AGRICOLA
2707,AGRICOLA
2710,AGRICOLA
2714,AGRICOLA
2717,AGRICOLA
2718,AGRICOLA
2752,AGRICOLA
2758,AGRICOLA
2765,AGRICOLA
2888,AGRICOLA
2932,AGRICOLA
3024,AGRICOLA
3026,AGRICOLA
3027,AGRICOLA
3030,AGRICOLA
3032,AGRICOLA
3033,AGRICOLA
3035,AGRICOLA
3039,AGRICOLA
3044,AGRICOLA
3052,AGRICOLA
3054,AGRICOLA
3066,AGRICOLA
3149,AGRICOLA
3483,AGRICOLA
3494,AGRICOLA
3500,AGRICOLA
3541,AGRICOLA
3542,AGRICOLA
3543,AGRICOLA
3545,AGRICOLA
3546,AGRICOLA
3547,AGRICOLA
3591,AGRICOLA
3639,AGRICOLA
3732,AGRICOLA
6662,AGRICOLA
6807,AGRICOLA
612,COMERCIANTE
946,
993,ARTESANA
1086,ARTESANA
1088,ARTESANA
1090,ARTESANA
1091,ARTESANA
1093,ARTESANA
1095,ARTESANA
1096,ARTESANA
1098,ARTESANA
1118,ARTESANA
1120,ARTESANA
1207,ARTESANA
1614,ARTESANA
1615,ARTESANA
1618,ARTESANA
995,CITRICOS
1056,LINEAPRODUCTIVA
