,Cadena_Productiva
2971,MAIZ
2972,MAIZ
2973,MAIZ
2974,MAIZ
2975,MAIZ
2978,MAIZ
2980,MAIZ
2981,MAIZ
2983,MAIZ
2984,MAIZ
2985,MAIZ
2987,MAIZ
2988,MAIZ
2991,MAIZ
2993,MAIZ
2995,MAIZ
2996,MAIZ
2998,MAIZ
2999,MAIZ
3000,MAIZ
3001,MAIZ
3004,MAIZ
3006,MAIZ
3008,MAIZ
3034,MAIZ
3040,MAIZ
3041,MAIZ
3048,MAIZ
3051,MAIZ
3055,MAIZ
3056,MAIZ
3077,MAIZ
3080,MAIZ
3083,MAIZ
3093,MAIZ
3116,MAIZ
3128,MAIZ
3129,MAIZ
3130,MAIZ
3131,MAIZ
3134,MAIZ
3136,MAIZ
3138,MAIZ
3142,MAIZ
3147,MAIZ
3148,MAIZ
3155,MAIZ
3163,MAIZ
3164,MAIZ
3176,MAIZ
3177,MAIZ
3180,MAIZ
3187,MAIZ
3215,MAIZ
3235,MAIZ
3242,MAIZ
3245,MAIZ
3251,MAIZ
3252,MAIZ
3255,MAIZ
3256,MAIZ
3258,MAIZ
3259,MAIZ
3267,MAIZ
3281,MAIZ
3282,MAIZ
3288,MAIZ
3291,MAIZ
3294,MAIZ
3318,MAIZ
3323,MAIZ
3343,MAIZ
3346,MAIZ
3350,MAIZ
3351,MAIZ
3356,MAIZ
3384,MAIZ
3391,MAIZ
3403,MAIZ
3404,MAIZ
3420,MAIZ
3421,MAIZ
3431,MAIZ
3439,MAIZ
3440,MAIZ
3441,MAIZ
3448,MAIZ
3482,MAIZ
3489,MAIZ
3492,MAIZ
3505,MAIZ
3508,MAIZ
3509,MAIZ
3510,MAIZ
3511,MAIZ
3512,MAIZ
3520,MAIZ
3521,MAIZ
3527,MAIZ
3528,MAIZ
3536,MAIZ
3550,MAIZ
3551,MAIZ
3556,MAIZ
3559,MAIZ
3566,MAIZ
3576,MAIZ
3582,MAIZ
3592,MAIZ
3594,MAIZ
3595,MAIZ
3611,MAIZ
3612,MAIZ
3614,MAIZ
3616,MAIZ
3617,MAIZ
3619,MAIZ
3620,MAIZ
3621,MAIZ
3627,MAIZ
3629,MAIZ
3642,MAIZ
3643,MAIZ
3644,MAIZ
3645,MAIZ
3647,MAIZ
3648,MAIZ
3649,MAIZ
3650,MAIZ
3651,MAIZ
3652,MAIZ
3653,MAIZ
3654,MAIZ
3655,MAIZ
3656,MAIZ
3657,MAIZ
3658,MAIZ
3659,MAIZ
3660,MAIZ
3661,MAIZ
3662,MAIZ
3663,MAIZ
3664,MAIZ
3667,MAIZ
3668,MAIZ
3669,MAIZ
3670,MAIZ
3671,MAIZ
3672,MAIZ
3674,MAIZ
3675,MAIZ
3676,MAIZ
3677,MAIZ
3678,MAIZ
3679,MAIZ
3680,MAIZ
3683,MAIZ
3696,MAIZ
3697,MAIZ
3699,MAIZ
3700,MAIZ
3701,MAIZ
3703,MAIZ
3707,MAIZ
3710,MAIZ
3712,MAIZ
3714,MAIZ
3734,MAIZ
3742,MAIZ
3743,MAIZ
6678,MAIZ
6718,MAIZ
6734,MAIZ
6895,MAIZ
6898,MAIZ
7994,MAIZ
8045,MAIZ
8348,MAIZ
8909,MAIZ
9232,MAIZ
9266,MAIZ
9656,MAIZ
9664,MAIZ
10114,MAIZ
10118,MAIZ
10126,MAIZ
10128,MAIZ
10130,MAIZ
1,PLATANO
2,PLATANO
38,PLATANO
45,PLATANO
96,PLATANO
99,PLATANO
165,PLATANO
166,PLATANO
167,PLATANO
249,PLATANO
301,PLATANO
344,PLATANO
345,PLATANO
400,PLATANO
405,PLATANO
410,PLATANO
411,PLATANO
453,PLATANO
454,PLATANO
470,PLATANO
576,PLATANO
578,PLATANO
584,PLATANO
588,PLATANO
591,PLATANO
593,PLATANO
598,PLATANO
605,PLATANO
608,PLATANO
650,PLATANO
673,PLATANO
678,PLATANO
683,PLATANO
699,PLATANO
775,PLATANO
797,PLATANO
799,PLATANO
802,PLATANO
830,PLATANO
832,PLATANO
840,PLATANO
854,PLATANO
856,PLATANO
858,PLATANO
859,PLATANO
860,PLATANO
875,PLATANO
881,PLATANO
899,PLATANO
905,PLATANO
953,PLATANO
971,PLATANO
973,PLATANO
1012,PLATANO
1023,PLATANO
1026,PLATANO
1035,PLATANO
1036,PLATANO
1038,PLATANO
1070,PLATANO
1074,PLATANO
1141,PLATANO
1170,PLATANO
1183,PLATANO
1241,PLATANO
1252,PLATANO
1296,PLATANO
1407,PLATANO
1450,PLATANO
1452,PLATANO
1478,PLATANO
1516,PLATANO
1522,PLATANO
1589,PLATANO
1590,PLATANO
1606,PLATANO
1609,PLATANO
1635,PLATANO
1636,PLATANO
1637,PLATANO
1646,PLATANO
1676,PLATANO
1695,PLATANO
1706,PLATANO
1728,PLATANO
1730,PLATANO
1731,PLATANO
1734,PLATANO
1914,PLATANO
2089,PLATANO
2320,PLATANO
2348,PLATANO
2349,PLATANO
2578,PLATANO
2992,PLATANO
3021,PLATANO
3114,PLATANO
3326,PLATANO
3450,PLATANO
3681,PLATANO
7087,PLATANO
7147,PLATANO
8074,PLATANO
8084,PLATANO
8085,PLATANO
8087,PLATANO
8234,PLATANO
8451,PLATANO
8680,PLATANO
9589,PLATANO
9591,PLATANO
9596,PLATANO
9655,PLATANO
4,GANADERIADP
5,GANADERIADP
6,GANADERIADP
7,GANADERIADP
