Numero_BP;Departamento;Municipio;Vereda;Predio;Organizacion;Id_Distrito;Nombre_Distrito;Escala_Distrito;Tipo_Distrito;Distrito_Operativo;Area_Bruta_HA;Area_Neta_Inicial_HA;Familias;Principales_Cultivos;Condición_Juridica;Propiedad_Distrito;Estado_Propiedad;Recursos_Construccion;Administrador_Distrito;Nombre_Fuente_Hidrica;Subzona_Hidrica;Corporacion_Autonoma_Regional;Concesión_Aguas;Numer_Consecion;Caudal_Consecion;Fecha_Consecion;Vigencia_Consecion;Observaciones
410;MAGDALENA;CIÉNAGA;CORREGIMIENTO PALMOR;;ASOPALMOR;410;PALMOR;Pequeña;Riego;1;300;300;30;Pancoger, Banano, Lulo, Maíz, Frijol, Yuca, Café, Aromáticas, Ají, Piscicultura, Ganadería, Hortalizas, Cítricos, Tomate, Pastos, Pimientos, Habichuela, Cebolla, Plátano;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Pausedonia;Cga Grande de Santa Marta;CORPAMAG;0;;;;;
411;MAGDALENA;CIÉNAGA;;;ASOJOLONURA;411;JOLONURA;Pequeña;Riego;1;70;70;32;Mango, plátano, cítricos y yuca;Público ;ADR;Legalizado;Públicos ;ADR;;;CORPAMAG;;;;;;
412;MAGDALENA;EL PIÑÓN;EL SALAO, CORREGIMIENTO EL TÍO GOLLO;;ASOSALAO;412;EL SALAO;Pequeña;Riego;0;80;80;80;Pancoger, Plátano, Yuca, Maíz, Ganadería, Cría de Especies Menores, Pastos, Frutales, Hortalizas, Ajonjolí, Sorgo, Limón, Mango, Cacao, Papaya;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Lago El Salado y Agua de Escorrentía;Cga Grande de Santa Marta;CORPAMAG;0;;;;;
413;MAGDALENA;EL PIÑÓN;MONTERA;;ASOMONTONERA;413;LA MONTERA;Pequeña;Riego;0;80;80;79;Pastos, Frutales, Hortalizas, Yuca, Maíz, Millo;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Embalse de Aguas Lluvias;Cga Grande de Santa Marta;CORPAMAG;0;;;;;
414;MAGDALENA;FUNDACIÓN;CASERÍO MONTECRISTO;;USOMONTECRISTO;414;MONTECRISTO;Pequeña;Riego;0;45;45;18;Tomate, Plátano, Frutales, Pastos, Yuca;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río San Sebastián, Quebrada Cristalina;Cga Grande de Santa Marta;CORPAMAG;0;;;;;
415;MAGDALENA;GUAMAL;PLAYA BLANCA;;ASORINCONADA;415;LA RINCONADA;Pequeña;Riego;0;67;67;71;Cítricos, Frutales, Pastos, Plátano, Yuca;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Ciénaga La Rinconada;Directos Bajo Magdalena entre El Banco y El Plato;CORPAMAG;0;;;;;
416;MAGDALENA;SABANAS DE SAN ÁNGEL;ARIZONA;;ASOISAORITUNNA;416;LA SIRENA - ISAORITUNNA;Pequeña;Riego;0;70;70;104;Hortalizas, Frutales, Pastos ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;;Rios Chimicuica y Corozal;CORPAMAG;0;;;;;
417;MAGDALENA;SAN ZENÓN;;;ASONARANJAL;417;NARANJAL;Pequeña;Riego;1;100;100;35;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Directos Bajo Magdalena entre El Banco y El Plato;CORPAMAG;0;;;;;
418;MAGDALENA;SANTA ANA;LAS FLORES;;ASOSANTANA;418;SANTA ANA;Pequeña;Riego;0;30;30;24;Pastos, Hortalizas, Maíz, Yuca;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Chimicua;Rios Chimicuica y Corozal;CORPAMAG;0;;;;;
419;MAGDALENA;SANTA MARTA;DON DIEGO (CORREGIMIENTO);;ASOCLAUDIA;419;DOÑA CLAUDIA;Pequeña;Riego;0;67;67;34;Plátano, Frutales, Hortalizas, Yuca, Ñame;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Don Dieguito;Rio  Piedras - Rio Manzanares;CORPAMAG;0;;;;;
