Numero_BP;Departamento;Municipio;Vereda;Predio;Organizacion;Id_Distrito;Nombre_Distrito;Escala_Distrito;Tipo_Distrito;Distrito_Operativo;Area_Bruta_HA;Area_Neta_Inicial_HA;Familias;Principales_Cultivos;Condición_Juridica;Propiedad_Distrito;Estado_Propiedad;Recursos_Construccion;Administrador_Distrito;Nombre_Fuente_Hidrica;Subzona_Hidrica;Corporacion_Autonoma_Regional;Concesión_Aguas;Numer_Consecion;Caudal_Consecion;Fecha_Consecion;Vigencia_Consecion;Observaciones
137;BOYACÁ;SUSACON;TOBAL, TOCHUPA Y PIE DE PEÑA;;ASOTOBAL;137;TOBAL;Pequeña;Riego;1;207;207;101;Papa, Frijol, Maíz, Cereales ,Trigo, Cebada, Avena,, Hortalizas, Cebolla Cabezona, Zanahoria, Pastos, Alverja, Ganadería de Doble Propósito, Frutales;Privado ;Asociación ;Propio;AIS 2008 II;Asociación de Usuarios;Río Susacón;Rio Chicamocha;CORPOBOYACA;1;;;;;
138;BOYACÁ;SUSACÓN;EL HATO, TOBAL, CARDONAL Y SALITRE;;ASOCENTENARIA;138;ASOCENTENARIA;Pequeña;Riego;1;260;260;158;Pastos, Frutales, Alverja, Papa, Maíz, Trigo, Fríjol;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Susacón;Rio Chicamocha;CORPOBOYACA;1;;;;;
139;BOYACÁ;TASCO;;;ASODISTRICANALES;139;DISTRI CANALES;Pequeña;Riego;1;179;179;208;;Privado ;Asociación ;Propio;AIS 2009;Asociación de Usuarios;;Rio Chicamocha;CORPOBOYACA;0;;;;;
140;BOYACÁ;TASCO;SAN ISIDRO;;CANELAS;140;SANTA BÁRBARA;Pequeña;Riego;1;212;212;176;Pastos, Maíz, Trigo, Papa, Hortalizas, Alverja, Cebolla, Frutales;Privado ;Asociación ;Propio;AIS 2008 I;Asociación de Usuarios;Quebrada La Guaza, Quebrada Guavito;Rio Chicamocha;CORPOBOYACA;1;;;;;
141;BOYACÁ;TENZA;VALLEGRANDE ;;ASOVALLEGRANDE;141;VALLEGRANDE ;Pequeña;Riego;1;40;40;21;Pepino, Maíz, Tomate, Fríjol, Pimentón, Pastos, Papa, Habichuela, Alverja;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Valle Grande, Quebrada los Micos;Rio Garagoa;CORPOCHIVOR;0;;;;;
142;BOYACÁ;TIBASOSA;SIACHOQUE ABAJO, PARTE DE SIACHOQUE ARRIBA Y FIRAYA;;ASORIEGO-VILLARIEGO;142;AYALAS;Pequeña;Riego;1;22;22;24;Papa, Maíz, Frutales, Pastos, Cebolla, Alverja, Haba, Cereales, Hortalizas;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Cajitas;Rio Chicamocha;CORPOBOYACA;1;;;;;
143;BOYACÁ;TIBASOSA;;;ASOSANRAFAEL;143;SAN RAFAEL;Pequeña;Riego;1;130;130;67;;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;;Rio Chicamocha;CORPOBOYACA;0;;;;;
144;BOYACÁ;TIBASOSA;;;ASOTIBASOSA;144;TIBASOSA;Pequeña;Riego;1;481;481;481;Durazno, Pastos, Frutales, Hortalizas, Azucena, Cebolla, Papa, Freijoa, Maíz, Tomate de Árbol, Breva;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Chicamocha;CORPOBOYACA;0;;;;;
145;BOYACÁ;TIPACOQUE;;;LOS PACHECOS;145;LOS PACHECOS;Pequeña;Riego;0;140;140;90;;Privado ;Asociación ;Propio;AIS 2008 I;Asociación de Usuarios;Quebrada Los Pachecos;Rio Chicamocha;CORPOBOYACA;1;;;;;
146;BOYACÁ;TOTA;;;ASOTOQUECHA ;146;TOQUECHA ;Pequeña;Riego;1;125;125;164;;Privado ;Asociación ;Propio;AIS 2009;Asociación de Usuarios;Lago Tota;Rio Chicamocha;CORPOBOYACA;1;;;;;
147;BOYACÁ;TOTA;;;ASOSACEGU ;147;SACEGU;Pequeña;Riego;1;500;500;506;;Público ;Por definir;Sin transferir;Públicos ;Asociación de Usuarios;;;CORPOBOYACA;;;;;;
148;BOYACÁ;TUTA;RESGUARDO, SAN ANTONIO Y SANTA TERESA;;ASOTERESANTO;148;SANTA TERESA;Pequeña;Riego;1;70;70;61;Maíz, Alverja, Papa, Tomate de Árbol, Fresa, Mora, Tomate, Hortalizas, Criolla, Pastos, Trigo, Cebolla, Cereales, Durazno, Ciruela;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Chicamocha, Río Tuta;Rio Chicamocha;CORPOBOYACA;1;;;;;
149;BOYACÁ;VILLA DE LEYVA;;;ASORICAURTE;149;RICAURTE;Pequeña;Riego;1;122;122;92;;Privado ;Asociación ;Propio;AIS - DRE 2013;Asociación de Usuarios;;;CORPOBOYACA;;;;;;
150;BOYACÁ;VIRACACHA;;;ASONAPIR;150;ASONAPIR;Pequeña;Riego;1;68.17;68.17;47;;Privado ;Asociación ;Propio;AIS - DRE 2013;Asociación de Usuarios;;;CORPOBOYACA;;;;;;
151;CALDAS;ARÁNZAZU;EL ALTO, LA GUIRA, EL EDÉN, EL CRUCERO;;ASOALEGRIAS;151;ALEGRÍAS;Pequeña;Riego;1;33;33;45;Aguacate Hass, Mora, Lulo de Castilla, Pastos, Alverja, Maíz, Fríjol, Tomate de Árbol, Tomate, Ganadería;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Guaira , Marmato ;Rio Tapias y otros directos al Cauca;CORPOCALDAS;0;;;;;
152;CALDAS;ARÁNZAZU;SAN ANTONIO, EL JARDÍN, PALMICHAL;;ASOSANANTONIO - EL JARDÍN;152;SAN ANTONIO EL JARDÍN;Pequeña;Riego;1;42;42;30;Mora, Lulo de Castilla, Café, Pastos, Tomate, Cebolla, Fríjol, Alverja, Cilantro, Plátano;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Taparal;Rio Tapias y otros directos al Cauca;CORPOCALDAS;0;;;;;
153;CALDAS;VILLAMARIA;GUAYANA, SANTO DOMINGO, LA PAZ;;ASOGUAYANA-SANTO DOMINGO;153;GUAYANA-SANTO DOMINGO;Pequeña;Riego;1;350;350;200;Mora, Tomate de Árbol, Aguacate, Lulo, Cebolla, Hortalizas, Granadilla, Guayaba, Tomate, Sábila, Zapallo, Cilantro;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La India, Quebrada Marmato;Rio Chinchina;CORPOCALDAS;1;;;;;
154;CALDAS;VITERVO;PREDIO SANTA ELENA;;ASOSANTA;154;LA MARÍA;Pequeña;Riego;1;70;70;85;Caña, Cítricos, Café, Plátano, Cacao, Frijol, Maracuyá;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río El Guarne, Risaral, Quebrada La Julia;Rio Risaralda;CORPOCALDAS;0;;;;;
155;CASANARE;MONTERREY;;;ASOBUENAVISTA;155;BUENAVISTA;Pequeña;Riego;0;117;117;37;Patilla, Cítricos, Yuca, Pastos, Frutales, Aguacate, Porcicultura;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Nacedero La Mesa de San Pedro, El Encanto, El Infierno;Rio Tua y otros directos al Meta;CORPORINOQUIA;1;;;;;
156;CASANARE;NUNCHIA;CAPILLA;;ASOCAPILLA;156;LA CAPILLA;Pequeña;Riego;1;35;35;32;Plátano, Cítricos, Yuca, Piscicultura, Ganadería, Caña de Azúcar, Pastos, Naranja, Cacao;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Niscota;Rio Cravo Sur;CORPORINOQUIA;0;;;;;
157;CASANARE;NUNCHIA; BARRANQUILLA, PLAZUELAS, SANTA CRUZ, PALMIRA, CAÑO HONDO, CONCHAL, MACUCO Y ROMERO;;ASOPROCANAL;157;PROCANAL;Pequeña;Riego;0;120;120;120;Pancoger;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Pauto;Cano Guanapalo y otros directos al Meta;CORPORINOQUIA;0;;;;;
158;CASANARE;TAURAMENA;EL JAGUITO, JUVE;;ASOJAGUITO;158;JAGUITO;Pequeña;Riego;1;200;200;56;Maíz, Yuca, Plátano, Piña, Cítricos, Patilla, Pastos, Piscicultura, Maíz;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Portana;Rio Cusiana;CORPORINOQUIA;0;;;;;
159;CASANARE;VILLANUEVA;CARACOLÍ;;ASOURCARACOLI;159;CARACOLÍ;Pequeña;Riego;1;39;39;34;Maíz, Plátano, Cítricos, Pastos, Maracuyá, Caña Ahuyama, Cacao, Frutales;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Nacedero Caracolí Según SC El Encanto;Rio Upia;CORPORINOQUIA;1;;;;;
160;CASANARE;VILLANUEVA;HORQUETON;;ASOHORQUETON;160;EL HORQUETON;Pequeña;Riego;1;35;35;26;Cacao, Pasto, Maíz, Cítricos, Plátano, Yuca, Piña, Papaya, Ganadería;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios; Lluvias y Agua Subterránea, El Horqueton;Rio Upia;CORPORINOQUIA;1;;;;;
161;CASANARE;VILLANUEVA;EL TRIUNFO;;ASOTRIUNFO;161;EL TRIUNFO;Pequeña;Riego;0;80;80;60;Maíz, Plátano, Patilla, Pastos, Cítricos, Pancoger, Piña, Papaya;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Capitán;Rio Upia;CORPORINOQUIA;0;;;;;
162;CAUCA;BALBOA;EL VIJAL;;ASOVIJAL;162;EL VIJAL;Pequeña;Riego;0;49;49;77;Maíz, Sandia, Zapallo, Cacao, Maní, Limón, Maracuyá, Naranja, Estera, Frutales ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Cecilia;Rio Patia Alto;CRC;1;;;;;
163;CAUCA;BALBOA;;;ASOPURETO;163;PURETO;Pequeña;Riego;0;50;50;50;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Patia Alto;CRC;0;;;;;
164;CAUCA;BOLÍVAR;LA CARBONERA;;ASOCARBONERA;164;LA CARBONERA;Pequeña;Riego;1;80;80;106;Maíz, Papaya, Plátano, Yuca, Maní, Cacao, Cítricos, Caña, Limón ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Salinas, Quebrada Loma Blanca;Rio Guachicono;CRC;1;;;;;
165;CAUCA;BOLÍVAR;LOS TIGRES;;ASOTIGRES;165;LOS TIGRES;Pequeña;Riego;1;40;40;46;Maíz, Frutales, Hortalizas, Caña, Fríjol Alverjas;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Cogollo;Rio Guachicono;CRC;0;;;;;
166;CAUCA;BUENOS AIRES;;;ASOCHAMBIMBE;166;CHAMBIMBE;Pequeña;Riego;1;54;54;54;Plátano, Maíz, Caña, Papaya, Tomate, Cítricos;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada El Ángel;Rio Quinamayo y otros directos al Cauca;CRC;0;;;;;
167;CAUCA;CAJIBIO;;;ASOESPARRAGOS;167;ESPARRAGOS;Pequeña;Riego;0;200;200;200;;Privado ;Asociación ;Propio;AIS 2008 II;Asociación de Usuarios;;Rio Palace;CRC;0;;;;;
168;CAUCA;CALDONO;BUENAVISTA;;ASOPRAB;168;BUENAVISTA;Pequeña;Riego;0;291;291;71;Tomate, Frijol, Arveja, Mora, Granadilla;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Chorrera Según SC Río Ovejas;Rio Ovejas;CRC;0;;;;;
169;CAUCA;CALDONO;EL CIDRAL ;;ASOELCIDRAL;169;CIDRAL - SANTA BÁRBARA;Pequeña;Riego;1;12;12;17;Yuca, Hortalizas, Tomate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Marañon;Rio Ovejas;CRC;0;;;;;
170;CAUCA;CALDONO;;;ASOMONTERILLA;170;MONTERILLA;Pequeña;Riego;1;60;60;64;Yuca, Hortalizas, Tomate;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada El Pilón;Rio Ovejas;CRC;0;;;;;
171;CAUCA;CALOTO;SAN LORENZO;;ASO-SAN LORENZO;171;SAN LORENZO;Pequeña;Riego;0;70;70;20;Frijol, Tomate, Hortalizas, Caña;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada Guabito Según SC Río Guavito;Rio Palo;CRC;0;;;;;
172;CAUCA;CALOTO;TOEZ;;ASOTOEZ;172;TOEZ;Pequeña;Riego;0;100;100;62;Pancoger, Ganadería, Frijol, Tomate, Hortalizas;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada La Trampa, Quebrada La Bodega;Rio Palo;CRC;0;;;;;
173;CAUCA;GUACHENE;PILAMO;;PILAMO-PALENQUE;173;PILAMO;Pequeña;Riego;0;209;209;95;Yuca, Frutales, Plátano;Público ;ADR;Legalizado;Públicos ;ADR;Río Palo;Rio Palo;CRC;0;;;;;
174;CAUCA;INZA;QUIGUANAS;;ASOQUIGUANAS;174;QUIGUANAS;Pequeña;Riego;1;26;26;55;Cítricos, Maíz, Aguacate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada San Andrés;Rio Paez;CRC;0;;;;;
175;CAUCA;INZA;;;ASOLUCIA;175;SANTA LUCIA O EL LAGO;Pequeña;Riego;1;53;53;87;Hortalizas, Tomate de Árbol, Lulo;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada Guanacas;Rio Paez;CRC;0;;;;;
176;CAUCA;JAMBALÓ;;;ASORIOMUÑOZ;176;RIO MUÑOZ;Pequeña;Riego;0;49;49;22;Papa, Arveja, Caña;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Muñoz;Rio Palo;CRC;0;;;;;
177;CAUCA;LA SIERRA;PALOGRANDE;;ASOSAMPEDRO;177;SAN PEDRO;Pequeña;Riego;0;50;50;100;Mora, Tomate de Árbol, Caña;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada Cerronegro;Rio Guachicono;CRC;0;;;;;
178;CAUCA;LA VEGA;GUAYABAL;;ASOGUAYABAL;178;GUAYABAL;Pequeña;Riego;0;45;45;35;Café, Plátano, Caña;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada Majagual;Rio Guachicono;CRC;0;;;;;
179;CAUCA;LA VEGA;;;ASOAMARILLOS;179;LOS AMARILLOS;Pequeña;Riego;0;20;20;28;Café, Plátano, Caña;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Erizal;Rio Guachicono;CRC;0;;;;;
180;CAUCA;LA VEGA;;;ASO-PLANES Y TABLONCITO;180;PLANES-TABLONCITO;Pequeña;Riego;0;64;64;42;Caña, Frijol, Arveja;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Higueras;Rio Guachicono;CRC;0;;;;;
181;CAUCA;MERCADERES;ARBOLEDA;;ASOMERCADERES;181;MERCADERES;Pequeña;Riego;0;350;350;115;Maíz, Plátano, Tomate, Frijol, Maní, Limón, Mango, Maracuyá, Habichuela;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Hatoviejo;Rio Mayo;CRC;1;;;;;
182;CAUCA;MERCADERES;;;ASOPATANGUEJO;182;PATANGUEJO;Pequeña;Riego;1;40;40;40;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Patia Alto;CRC;0;;;;;
183;CAUCA;MERCADERES;;;ASOFAC;183;ASOFAC;Pequeña;Riego;1;22;22;21;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;;CRC;;;;;;
184;CAUCA;MIRANDA;CARAQUEÑO;;ASOCARAQUEÑO;184;CARAQUEÑO;Pequeña;Riego;1;180;180;54;Hortalizas, Frijol, Cítricos, Tomate, Lulo, Café, Pastos, Plátano, Frutales, Caña;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Caparrosal;Rio Palo;CRC;0;;;;;
185;CAUCA;PÁEZ;MORAS;;ASOMORAS;185;MORAS;Pequeña;Riego;1;90;90;56;Papa, Cebolla Junca, Trigo;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada Agua Ceniza;Rio Paez;CRC;0;;;;;
186;CAUCA;PÁEZ;SAN ANTONIO;;ASOSANANTONIO;186;SAN ANTONIO;Pequeña;Riego;1;25;25;28;Tomate de Árbol, Frijol, Caña;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Higuerones;Rio Paez;CRC;1;;;;;Actualizacion D.T. 2013.
187;CAUCA;PATIA;LAS TALLAS;;AZANTALL;187;SANJON HONDO;Pequeña;Riego;0;100;100;76;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Patia Alto;CRC;0;;;;;
188;CAUCA;PATÍA;PARCELACIÓN QUINTERO;;HOYO DE LA MINA;188;HOYO DE LA MINA;Pequeña;Riego;1;25;25;20;Caña, Maíz, Maní, Cítricos, Cacao;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Sindagua;Rio Patia Alto;CRC;1;;;;;
189;CAUCA;PATÍA;LA MANGUITA;;ASOLAMANGUITA;189;LA MANGUITA;Pequeña;Riego;1;60;60;75;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Patia Alto;CRC;0;;;;;
190;CAUCA;PIENDAMO;FARALLONES;;ASOFARALLONES;190;FARALLONES;Pequeña;Riego;1;35;35;36;Flores, Pimentón, Hortalizas, Café;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada Farallones Según SC es Río ;Rio Ovejas;CRC;0;;;;;
191;CAUCA;PIENDAMO;LA ESPERANZA ;;ASOESPERANZA ;191;LA ESPERANZA ;Pequeña;Riego;0;63;63;36;Café;Público ;ADR;Legalizado;Públicos ;ADR;Río Machete;Rio Ovejas;CRC;0;;;;;
192;CAUCA;PIENDAMO;LA MARÍA;;FUENTE DE VIDA DEL RESGUARDO LA MARÍA;192;LA MARÍA AMBIENTE FUENTE DE VIDA;Pequeña;Riego;1;80;80;300;Yuca, Frijol, Caña, Café, Plátano, Horticultura;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada Los Quingos Según SC Ríos Bermejal y Los Quingos;Rio Ovejas;CRC;0;;;;;
193;CAUCA;PIENDAMO;SANTA HELENA;;ASOSANTAHELENA;193;SANTA HELENA;Pequeña;Riego;1;63;63;45;Tomate, Hortalizas, Frijol;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada Santa Helena;Rio Piendamo;CRC;0;;;;;
194;CAUCA;SAN SEBASTIÁN;;;ASOELROSAL;194;EL ROSAL;Pequeña;Riego;1;250;250;170;Caña, Lulo, Mora;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Tablero;Rio Guachicono;CRC;0;;;;;
195;CAUCA;SANTANDER DE QUILICHAO;AGUA BLANCA;;ASOAGUABLANCA;195;AGUA BLANCA;Pequeña;Riego;1;80;80;56;Tomate, Plátano, Frijol, Habichuela, Maíz, Café, Plátano, Pancoger, Caña;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada Alonso Gómez;Rio Ovejas;CRC;1;;;;;
196;CAUCA;SANTANDER DE QUILICHAO;;;ASOCANOAS;196;CANOAS;Pequeña;Riego;1;27;27;22;Cítricos, Tomate, Frijol;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Páez;Rio Quinamayo y otros directos al Cauca;CRC;0;;;;;
197;CAUCA;SANTANDER DE QUILICHAO;DOMINGUILLO;;ASODOMINGUILLO;197;DOMINGUILLO;Pequeña;Riego;1;28;28;52;Frijol, Tomate, Pimentón;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Gallinazo;Rio Quinamayo y otros directos al Cauca;CRC;1;;;;;
198;CAUCA;SILVIA;;;CABILDO DE GUAMBIA;198;CABILDO DE GUAMBIA;Pequeña;Riego;0;85;85;80;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Piendamo;CRC;0;;;;;
199;CAUCA;SILVIA;CACIQUE;;MIDIRGOCAN;199;CACIQUE;Pequeña;Riego;1;30;30;138;Cebolla, Ajo, Ullucos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Corrales;Rio Ovejas;CRC;0;;;;;
200;CAUCA;SILVIA;CORRALES;;ASOCORRALES;200;CORRALES;Pequeña;Riego;1;95;95;75;Papa, Ajo, Cebolla;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Corrales;Rio Piendamo;CRC;0;;;;;
201;CAUCA;SILVIA;EL JARDÍN, LA ESTRELLA, ALTO GRANDE;;ASOPROJEAL;201;EL JARDÍN, LA ESTRELLA, ALTO GRANDE;Pequeña;Riego;0;178;178;102;Fresa, Mora, Especies Memores;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Piendamo;CRC;0;;;;;
202;CAUCA;SILVIA;LA CAMPANA;;RESGUARDO DE WAMPIA;202;LA CAMPANA;Pequeña;Riego;1;50;50;28;Cebolla, Ajo, Papa, Habas, Piscicultura, Quinua, Hortalizas;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada Tejares;Rio Piendamo;CRC;0;;;;;
203;CAUCA;SILVIA;;;LA CHORRERA GUAMBIA;203;LA CHORRERA GUAMBIA;Pequeña;Riego;0;85;85;30;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Piendamo;CRC;0;;;;;
204;CAUCA;SILVIA;ESPERANZA;;ASOLAESPERANZA;204;LA ESPERANZA PITAYO;Pequeña;Riego;1;150;150;81;Pastos, Papa, Hortalizas, Cebolla, Ganadería, Ajo, Maíz, Trigo;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada Quintero Según SC Ríos El charco y Agua Tambor (donde nace el Río Palo);Rio Palo;CRC;0;;;;;
205;CAUCA;SILVIA;NIMBE;;ASONIMBE - CAMPANA;205;NIMBE - CAMPANA;Pequeña;Riego;1;50;50;50;Cebolla, Ajo, Papa;Público ;ADR;Legalizado;Públicos ;ADR;Río Piendamo;Rio Piendamo;CRC;0;;;;;
206;CAUCA;SILVIA;;;INTERRESGUARDO MULTICULTURAL;206;PRIMERA FASE 36 VEREDAS;Pequeña;Riego;0;200;200;200;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Piendamo;CRC;0;;;;;
207;CAUCA;SILVIA;;;ASOPUEBLITO;207;PUEBLITO;Pequeña;Riego;0;25;25;160;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Piendamo;CRC;0;;;;;
208;CAUCA;SILVIA;SAN FERNANDO;;ASOSANFERNANDO;208;SAN FERNANDO;Pequeña;Riego;1;30;30;40;Ajo, Cebolla, Ullucos, Papa, Hortalizas, Maíz, Quinua, Piscicultura;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Michambe;Rio Ovejas;CRC;1;;;;;
209;CAUCA;SILVIA;SAN GABRIEL;;ASOSAN GABRIEL;209;SAN GABRIEL;Pequeña;Riego;1;30;30;25;Maíz, Pastos, Arveja, Ajo, Ganadería;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Chorrera Según SC Rincón y Las Letras;Rio Palace;CRC;0;;;;;
210;CAUCA;SILVIA;;;ASOVALLENUEVO;210;VALLENUEVO;Pequeña;Riego;0;20;20;20;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Ovejas;CRC;0;;;;;
211;CAUCA;SILVIA;;;RESGUARDO DE GUAMBIA;211;WARANKAL - GUAMBIA;Pequeña;Riego;1;65;65;400;Uchuvas, Tomate de Árbol, Arveja;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Piendamo;CRC;0;;;;;
212;CAUCA;SOTARÁ;LA ESPERANZA;;ASOESPERANZA ;212;LA ESPERANZA;Pequeña;Riego;1;23;23;23;Mora, Lulo, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Molino;Rio Patia Alto;CRC;1;;;;;
213;CAUCA;SOTARÁ;LOMA ALTA;;ASOLOMALTA;213;LOMA ALTA;Pequeña;Riego;1;65;65;32;Pastos, Tomate de Árbol, Lulo, Mora, Café, Tomate, Aguacate, Granadilla;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Las Piedras, Quebrada Paispamba;Rio Patia Alto;CRC;1;;;;;
214;CAUCA;SOTARÁ;SAN ISIDRO;;ASO-SAN ISIDRO;214;SAN ISIDRO;Pequeña;Riego;1;40;40;40;Mora, Lulo, Fresa;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Laguna;Rio Patia Alto;CRC;1;;;;;Actualizacion D.T. 2013.
215;CAUCA;SUAREZ;SANTA BÁRBARA;;ASOSANTABARBARA;215;SANTA BÁRBARA;Pequeña;Riego;0;37;37;27;Maíz, Frijol, Yuca;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Puente Tierra;Rio Salado y otros directos Cauca;CRC;0;;;;;
216;CAUCA;SUCRE;COLORADOS;;ASOCOLORADOS;216;COLORADOS;Pequeña;Riego;1;141;141;61;Sábila, Pancoger, Pastos, Limón, Maíz, Fríjol, Café, Tomate, Frutales;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Rio Guachicono;CRC;0;;;;;
217;CAUCA;TIMBIO;SACHACOCO, LA AVANZADA, EL RETIRO, GUACAS, CINCO DÍAS, SAN PEDRITO, SAN PEDRO ALTO, SAN JOSÉ;;ASOTIMBIO;217;TIMBIO;Pequeña;Riego;1;300;300;228;Hortalizas, Frutales, Maíz;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Robles;Rio Patia Alto;CRC;1;;;;;
218;CAUCA;TOTORO;BETANIA ;;ASOBETANIA;218;BETANIA ;Pequeña;Riego;1;57;57;57;Aromáticas, Medicinales, Hortalizas;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Las Trochas;Rio Palace;CRC;0;;;;;
219;CAUCA;TOTORO;CHUSCALES;;ASOCHUSCALES;219;CHUSCALES;Pequeña;Riego;1;81;81;72;Papa, Hortalizas, Cebolla, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Copialito Según SC Río Chuscal;Rio Palace;CRC;1;;;;;
220;CAUCA;TOTORO;GALLINAZO, EL COFRE;;ASOGALCO;220;GALLINAZO - EL COFRE;Pequeña;Riego;1;63;63;60;Aromáticas, Medicinales, Hortalizas, Ganadería ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Gallinazo;Rio Palace;CRC;0;;;;;
221;CAUCA;TOTORO;SAN ANTONIO;;ASOPANIQUITA;221;PANIQUITA;Pequeña;Riego;1;52;52;52;Pastos, Frijol, Hortalizas;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Salado;Rio Palace;CRC;1;;;;;
222;CESAR;AGUSTIN CODAZZI;;;ASOAVEMARIA;222;AVEMARIA;Pequeña;Riego;1;130;130;57;;Privado ;Asociación ;Propio;AIS - DRE 2013;Asociación de Usuarios;;;CORPOCESAR;;;;;;
223;CESAR;BECERRIL;;;ASOCARTAGENA;223;CARTAGENA LAS PIÑAS;Pequeña;Riego;0;110;110;38;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Medio Cesar;CORPOCESAR;0;;;;;
