HS;Descripción HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ENA;ACTIVOSPRODUCTIVO;ASISTENCIATECNICA;ADT
070190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";010501;PAPA;;;;CRIOLLA
070190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";010501;PAPA;;;;PAPA
070190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";010503;PAPA CRIOLLA;;;;PAPA CRIOLLA
070190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";010504;ULLUCO;;;;ULLUCOS
070200;Tomates frescos o refrigerados;010601;TOMATE;TOMATE;;;
070200;Tomates frescos o refrigerados;010602;TOMATE INVERNADERO;TOMATE INVERNADERO;;;
070200;Tomates frescos o refrigerados;010601;TOMATE;;;;TOMARE
070200;Tomates frescos o refrigerados;010601;TOMATE;;;;TOMATE
070200;Tomates frescos o refrigerados;010601;TOMATE;;;;TOMATE CHONTO
070200;Tomates frescos o refrigerados;010602;TOMATE INVERNADERO;;;;TOMATE TABACO
070320;Ajos frescos o refrigerados;010701;AJO;AJO;;;
070320;Ajos frescos o refrigerados;010701;AJO;;;;AJO
070390;"Puerros y demás hortalizas aliáceas, incl. ""silvestres"", frescos o refrigerados (exc. cebollas, ...";010702;PUERRO;PUERRO;;;
070410;"Coles y brécoles ""broccoli"", frescos o refrigerados";010801;BROCOLI;BROCOLI;;;
070410;"Coles y brécoles ""broccoli"", frescos o refrigerados";010802;COL;COL;;;
070410;"Coles y brécoles ""broccoli"", frescos o refrigerados";010801;BROCOLI;;;;BRÓCOLI
070410;"Coles y brécoles ""broccoli"", frescos o refrigerados";010802;COL;;;;COL
070490;Coles, incl. los repollos, y coliflores, coles rizadas, colinabos y productos comestibles simil. ...;010803;COLIFLOR;COLIFLOR;;;
070490;Coles, incl. los repollos, y coliflores, coles rizadas, colinabos y productos comestibles simil. ...;010804;REPOLLO;REPOLLO;;;
