HS;Descripci¢n HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ASISTENCIATECNICA
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11107;FRIJOL VOLUBLE;
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11108;GUANDUL;
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11109;HABICHUELA;
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11103;FRIJOL;
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11104;FRIJOL ARBUSTIVO;
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11106;FRIJOL PLANA;
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11103;FRIJOL;
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11103;FRIJOL;
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11106;FRIJOL PLANA;
70820;"JudÁas ""porotos, alubias, frijoles, frâjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";11109;HABICHUELA;
70910;"Alcachofas ""alcauciles"", frescas o refrigeradas";11201;ALCACHOFA;
70920;EspÊrragos, frescos o refrigerados;11202;ASPARRAGUS;
70920;EspÊrragos, frescos o refrigerados;11203;ESPARRAGO;
70930;Berenjenas, frescas o refrigeradas;11204;BERENJENA;
70930;Berenjenas, frescas o refrigeradas;11204;BERENJENA;
70940;Apio, fresco o refrigerado (exc. apionabo);10505;APIO;
70940;Apio, fresco o refrigerado (exc. apionabo);10506;ARRACACHA;
70940;Apio, fresco o refrigerado (exc. apionabo);10505;APIO;
70940;Apio, fresco o refrigerado (exc. apionabo);10506;ARRACACHA;
70959;"Setas y demÊs hongos, comestibles, frescas o refrigeradas (exc. hongos del gânero ""Agaricus"" ...";11207;CHAMPI´ON;
70959;"Setas y demÊs hongos, comestibles, frescas o refrigeradas (exc. hongos del gânero ""Agaricus"" ...";11208;ORELLANA;
70960;"Frutos de las gâneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";11209;AJI;
70960;"Frutos de las gâneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";11210;AJI DULCE;
70960;"Frutos de las gâneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";11211;AJI TABASCO;
70960;"Frutos de las gâneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";11209;AJI;
70960;"Frutos de las gâneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";11210;AJI DULCE;
70960;"Frutos de las gâneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados";11211;AJI TABASCO;
70970;Espinacas, incl. las de Nueva Zelanda, y armuelles, frescas o refrigeradas;11212;ESPINACA;
70970;Espinacas, incl. las de Nueva Zelanda, y armuelles, frescas o refrigeradas;11212;ESPINACA;
70990;Las demÊs hortalizas, frescas o refrigeradas : Las demÊs;11220;HORTALIZAS VARIAS;
70990;Las demÊs hortalizas, frescas o refrigeradas : Las demÊs;11220;HORTALIZAS VARIAS;
70990;Las demÊs hortalizas, frescas o refrigeradas : Las demÊs;11220;HORTALIZAS VARIAS;
70990;Las demÊs hortalizas, frescas o refrigeradas : Las demÊs;11220;HORTALIZAS VARIAS;
70990;Las demÊs hortalizas, frescas o refrigeradas : Las demÊs;11220;HORTALIZAS VARIAS;
70990;Las demÊs hortalizas, frescas o refrigeradas : Las demÊs;11220;HORTALIZAS VARIAS;
70990;Las demÊs hortalizas, frescas o refrigeradas : Las demÊs;11220;HORTALIZAS VARIAS;
70990;Las demÊs hortalizas, frescas o refrigeradas : Las demÊs;11220;HORTALIZAS VARIAS;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11213;AHUYAMA;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11214;CALABACIN;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11215;CALABAZA;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11216;GUATILA;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11217;YOTA;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11218;ZUCCHINI;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11213;AHUYAMA;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11213;AHUYAMA;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11213;AHUYAMA;
70993;"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""";11214;CALABACIN;
71340;Lentejas secas desvainadas, aunque estân mondadas o partidas;11301;LENTEJA;
71340;Lentejas secas desvainadas, aunque estân mondadas o partidas;11301;LENTEJA;
71350;"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...";11302;HABA;
71350;"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...";11302;HABA;
71350;"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...";11302;HABA;
71390;Legumbres secas, legumbres sin cÊscara, incluso mondadas o partidas (exc. ??guisantes, garbanzos, ...;11303;GARBANZO;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10507;BATATA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10508;BORE;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10509;CHONQUE;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10510;MALANGA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10511;´AME;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10511;´AME;´AME
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10512;´AME DIAMANTE;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10513;´AME ESPINO;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10514;YACON;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10515;YUCA;
71410;"RaÁces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";10515;YUCA;YUCA
