,Id_Usuario,Sexo,Tipo_Poblacional,Discapacidad,Departamento,Municipio,Vereda,Predio,Cadena_Productiva,C1A1,C2A1,C3A1,C4A1,C5A1,C6A1,C7A1,C8A1,C9A1,C10A1,NA1,C1A2,C2A2,C3A2,C4A2,C5A2,C6A2,C7A2,NA2,C1A3,C2A3,C3A3,C4A3,C5A3,NA3,C1A4,C2A4,C3A4,C4A4,NA4,C1A5,C2A5,C3A5,C4A5,NA5,CLAS_GRAL,CADENA_PRODUCTIVA_ADR,ID_ADR,Tipo de proyecto
11883,11884,M,NINGUNA,NO,CASANARE,85010,RINCON DEL BUBUY,LOS TROMPILLOS,GANADERIA,2,2,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,2.0,3.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2,1.0,2.0,1.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11884,11885,M,NINGUNA,NO,CASANARE,85250,LAS BRANCITAS,LAS MARGARITAS,GANADERIA,2,3,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,2,2.0,2.0,2.0,2.0,2,2.0,3.0,2.0,2.0,2,2.0,2.0,1.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11885,11886,M,NINGUNA,NO,CASANARE,85410,AGUABLANCA,EL MORICHAL,GANADERIA,2,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,1.0,2.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11886,11887,F,NINGUNA,NO,CASANARE,85263,RAMONONATO,EL SURAL,GANADERIA,2,1,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1,4.0,2.0,2,4.0,2.0,1.0,1.0,2,1,2.0,3.0,2.0,1.0,1,1.0,2.0,2.0,1.0,1,1.0,2.0,1.0,3.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11887,11888,M,NINGUNA,NO,CASANARE,85250,BRISAS DEL BEBEDEEO,LIMONCITO,GANADERIA,2,1,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,2.0,2.0,2.0,2.0,1,3.0,1.0,2.0,2.0,1,2.0,3.0,3.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11888,11889,F,NINGUNA,NO,CASANARE,85015,CENTRO SUR,EL PARAISO,GANADERIA,2,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,3.0,2.0,2,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11889,11890,F,NINGUNA,NO,CASANARE,85125,ROSA BLANCA,LA HUMILDAD,GANADERIA,2,1,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,3.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11890,11891,M,NINGUNA,NO,CASANARE,85001,TOLODIRAN,RANCHO LOS NARANJOS,GANADERIA,3,1,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1,2.0,4.0,4,4.0,2.0,1.0,1.0,2,2,2.0,1.0,1.0,2.0,1,3.0,3.0,3.0,2.0,2,2.0,3.0,2.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11891,11892,M,NINGUNA,NO,CASANARE,85015,SINAGAZA,EL DIVISO,GANADERIA,2,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,3,3.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2.0,2.0,2.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11892,11893,F,NINGUNA,NO,CASANARE,85015,TEGUITA BAJA,EL VIJAGUAL,GANADERIA,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1.0,1,2.0,1.0,2.0,1.0,1,2.0,2.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
