,Id_Usuario,Sexo,Tipo_Poblacional,Discapacidad,Departamento,Municipio,Vereda,Predio,Cadena_Productiva,C1A1,C2A1,C3A1,C4A1,C5A1,C6A1,C7A1,C8A1,C9A1,C10A1,NA1,C1A2,C2A2,C3A2,C4A2,C5A2,C6A2,C7A2,NA2,C1A3,C2A3,C3A3,C4A3,C5A3,NA3,C1A4,C2A4,C3A4,C4A4,NA4,C1A5,C2A5,C3A5,C4A5,NA5,CLAS_GRAL,CADENA_PRODUCTIVA_ADR,ID_ADR,Tipo de proyecto
10914,10915,M,NINGUNA,NO,MAGDALENA,47161,CANDELARIA,LA ESPERANZA,GANADERIA,2,3,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2,2.0,2.0,4,1.0,2.0,1.0,1.0,1,2,2.0,2.0,2.0,2.0,2,2.0,1.0,2.0,1.0,1,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
10915,10916,M,NINGUNA,NO,MAGDALENA,47161,CONCEPCION,PITI,GANADERIA,1,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10916,10917,M,NINGUNA,NO,MAGDALENA,47161,CABECERA MUNICIPAL,NO REGISTRA NOMBRE,GANADERIA,2,3,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,4,1.0,2.0,1.0,1.0,1,2,2.0,2.0,2.0,2.0,2,2.0,2.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10917,10918,M,NINGUNA,NO,MAGDALENA,47161,CABECERA MUNICIPAL,EL TORMENTO,GANADERIA,2,3,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,4,1.0,2.0,1.0,1.0,1,1,2.0,3.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
10918,10919,F,NINGUNA,NO,MAGDALENA,47161,CONCEPCION,EL TAMARINDO,GANADERIA,2,2,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,1,2,2.0,2.0,1.0,2.0,1,2.0,1.0,2.0,1.0,1,2.0,2.0,3.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10919,10920,M,NINGUNA,NO,MAGDALENA,47161,CONCEPCION,LA ESTRELLA,GANADERIA,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2.0,2.0,3.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10920,10921,M,NINGUNA,NO,MAGDALENA,47161,CONCEPCION,TAMARINDO,GANADERIA,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2.0,2.0,3.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10921,10922,M,NINGUNA,NO,MAGDALENA,47161,CABECERA MUNICIPAL,CAÑO LINDO,GANADERIA,2,1,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1,2.0,3.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10922,10923,M,NINGUNA,NO,MAGDALENA,47161,CABECERA MUNICIPAL,LA MINA,GANADERIA,2,3,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1,2.0,2.0,4,1.0,2.0,1.0,1.0,1,1,2.0,3.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1,2.0,2.0,3.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
10923,10924,M,NINGUNA,NO,MAGDALENA,47161,CABECERA MUNICIPAL,LOS MANGUITOS,GANADERIA,2,3,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1,2.0,3.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10924,10925,M,NINGUNA,NO,MAGDALENA,47161,CONCEPCION,EL ARROYO,GANADERIA,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10925,10926,M,NINGUNA,NO,MAGDALENA,47161,CANDELARIA,SANTA ROSA,GANADERIA,2,2,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,2,1.0,2.0,1.0,1.0,1,2,2.0,2.0,1.0,2.0,1,2.0,2.0,2.0,1.0,1,2.0,2.0,3.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
10926,10927,M,NINGUNA,NO,MAGDALENA,47161,CABECERA MUNICIPAL,VILLA NELSI,GANADERIA,2,2,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,4,1.0,2.0,1.0,1.0,1,1,2.0,3.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10927,10928,M,NINGUNA,NO,MAGDALENA,47161,CABECERA MUNICIPAL,CARRIZAL,GANADERIA,2,3,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1,2.0,2.0,4,1.0,2.0,1.0,1.0,1,1,2.0,3.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1,2.0,2.0,3.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
10928,10929,M,NINGUNA,NO,MAGDALENA,47161,PUERTO NIÑO,VILLA JUDID,GANADERIA,2,3,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,2.0,4.0,2,1.0,2.0,1.0,1.0,1,1,2.0,2.0,1.0,1.0,1,2.0,1.0,2.0,1.0,1,1.0,2.0,3.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10929,10930,M,NINGUNA,NO,MAGDALENA,47161,CANDELARIA,TOTUMO,GANADERIA,2,2,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1,2.0,2.0,2,1.0,2.0,1.0,1.0,1,2,2.0,2.0,1.0,2.0,1,2.0,1.0,2.0,1.0,1,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
10930,10931,M,NINGUNA,NO,MAGDALENA,47161,CONCEPCION,TAMARINDO,GANADERIA,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2.0,2.0,3.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10931,10932,M,NINGUNA,NO,MAGDALENA,47161,PUERTO NIÑO,EL NORATO,GANADERIA,2,3,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,2.0,4.0,2,1.0,2.0,1.0,1.0,1,1,2.0,2.0,1.0,1.0,1,2.0,1.0,2.0,1.0,1,1.0,2.0,3.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10932,10933,M,NINGUNA,NO,MAGDALENA,47161,JESUS DEL MONTE,LA CEIBA,GANADERIA,2,3,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,2,2.0,2.0,1.0,1.0,1,2,2.0,2.0,2.0,1.0,1,2.0,1.0,2.0,1.0,1,2.0,2.0,3.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10983,10984,M,NINGUNA,NO,MAGDALENA,47205,BELLA VISTA,SAN GREGORIO,GANADERIA,2,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2.0,2.0,3.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10984,10985,M,NINGUNA,NO,MAGDALENA,47245,AGUAESTRADA,CAMPO ALEGRE,GANADERIA,2,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10985,10986,F,NINGUNA,NO,MAGDALENA,47245,SABANAS DE VENADO ,SANTA ROSA,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10986,10987,M,NINGUNA,NO,MAGDALENA,47245,SABANAS DE VENADO,DIOS ME VEA,GANADERIA,1,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10987,10988,M,NINGUNA,NO,MAGDALENA,47245,CAÑA DE PALMA,LAS DELICIAS,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10988,10989,F,NINGUNA,NO,MAGDALENA,47245,ALGARROBAL,LOS CORAZONES,GANADERIA,2,2,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10989,10990,F,NINGUNA,NO,MAGDALENA,47245,ALGARROBAL,LA ESPERANZA,GANADERIA,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10990,10991,M,NINGUNA,NO,MAGDALENA,47245,CAÑO DE PALMA ,NUEVA GRANADA ,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10991,10992,F,NINGUNA,NO,MAGDALENA,47245,SABANAS DE VENADO ,SANTA RITA ,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10992,10993,M,NINGUNA,NO,MAGDALENA,47245,CAÑO PALMA ,EL TORMENTO ,GANADERIA,2,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,1,2.0,2.0,3.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10993,10994,M,NINGUNA,NO,MAGDALENA,47245,CAÑO DE PALMA ,SANTA ROSA ,GANADERIA,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10994,10995,M,NINGUNA,NO,MAGDALENA,47245,CAÑO DE PALMA ,LOS AGUACATES,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10995,10996,M,NINGUNA,NO,MAGDALENA,47245,LA FLORIDA,LA FLORESTA ,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10996,10997,M,NINGUNA,NO,MAGDALENA,47245,EL CAÑON DE PALMA ,EL BRILLANTE ,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10997,10998,F,NINGUNA,NO,MAGDALENA,47245,MENCHIQUESO ,EL PALMAR ,GANADERIA,2,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10998,10999,M,NINGUNA,NO,MAGDALENA,47245,MENCHIQUEJO,NO HAY COMO DIOS ,GANADERIA,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
10999,11000,M,NINGUNA,NO,MAGDALENA,47245,EL CEDRO ,LAS DELICIAS ,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11000,11001,M,NINGUNA,NO,MAGDALENA,47245,MENCHIQUEJO ,MENCHIQUEJO ,GANADERIA,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,3.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11001,11002,F,NINGUNA,NO,MAGDALENA,47245,LOS JOBOS ,CAÑO DE PALMA ,GANADERIA,1,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11002,11003,M,NINGUNA,NO,MAGDALENA,47245,CAÑO DE PALMA ,SITIO NUEVO,GANADERIA,2,2,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11003,11004,M,NINGUNA,NO,MAGDALENA,47245,LOS JOBOS ,GUAMAL,GANADERIA,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11004,11005,M,NINGUNA,NO,MAGDALENA,47245,CAÑO DE PALMA ,PAMPAN,GANADERIA,2,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11005,11006,M,NINGUNA,NO,MAGDALENA,47245,LA FLORIDA,LA ESXTACION,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11006,11007,M,NINGUNA,NO,MAGDALENA,47245,LOS JOBOS ,PAMPAN,GANADERIA,2,1,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11007,11008,M,NINGUNA,NO,MAGDALENA,47245,CAÑO DE PALMA ,PAJA DE LATA,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11008,11009,F,NINGUNA,NO,MAGDALENA,47245,CAÑO DE PALMA ,LOS PLACERES ,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11009,11010,M,NINGUNA,NO,MAGDALENA,47245,SANTA FE ,LA FE ,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11010,11011,M,NINGUNA,NO,MAGDALENA,47245,CAÑO DE PALMA ,CAÑO DE PALMA ,GANADERIA,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11011,11012,M,NINGUNA,NO,MAGDALENA,47245,AGUESTRADA,SITIO NUEVO,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11012,11013,F,NINGUNA,NO,MAGDALENA,47258,SAN BASILIO,GUAMAL,GANADERIA,2,1,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2,3.0,2.0,1.0,2.0,1,3.0,2.0,3.0,1.0,2,1.0,2.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11013,11014,M,NINGUNA,NO,MAGDALENA,47258,MONTERIA,PAMPAN,GANADERIA,3,2,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2.0,3.0,2.0,1.0,1,1.0,2.0,1.0,4.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11014,11015,M,NINGUNA,NO,MAGDALENA,47258,SAN BASILIO,LA ESXTACION,GANADERIA,2,1,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,3.0,3.0,1.0,2.0,1,1.0,2.0,1.0,1.0,1,1.0,2.0,3.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11015,11016,M,NINGUNA,NO,MAGDALENA,47258,SAN BASILIO,PAMPAN,GANADERIA,1,1,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,2.0,2.0,1.0,2.0,1,3.0,1.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11016,11017,M,NINGUNA,NO,MAGDALENA,47258,SAN BASILIO,EL AMPARO,GANADERIA,2,1,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,1.0,2.0,2.0,2.0,1,1.0,3.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11017,11018,F,NINGUNA,NO,MAGDALENA,47258,CARRETO,LA DORADA,GANADERIA,2,1,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1,2.0,2.0,4,1.0,3.0,1.0,1.0,1,2,3.0,3.0,1.0,2.0,2,2.0,3.0,2.0,2.0,2,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11018,11019,F,NINGUNA,NO,MAGDALENA,47258,CARRETO,LO VERAN,GANADERIA,2,1,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,3.0,1.0,1.0,1,2,2.0,2.0,1.0,1.0,1,2.0,1.0,2.0,1.0,1,2.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11019,11020,M,NINGUNA,NO,MAGDALENA,47258,CARRETO,ALMADILLERA,GANADERIA,1,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1,1.0,2.0,3,1.0,3.0,1.0,1.0,1,2,2.0,3.0,1.0,2.0,1,2.0,3.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11033,11034,M,NINGUNA,NO,MAGDALENA,47318,MURILLO,LOS MANGOS,GANADERIA,2,2,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1,1.0,1.0,2,1.0,2.0,1.0,1.0,1,2,2.0,2.0,1.0,2.0,1,3.0,2.0,3.0,1.0,2,2.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11034,11035,M,NINGUNA,NO,MAGDALENA,47318,MURILLO,MIRA FLORES,GANADERIA,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,2,3.0,2.0,1.0,1.0,1,2.0,1.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11035,11036,M,NINGUNA,NO,MAGDALENA,47318,SAN JUAN DE DIOS,VILLA LEYDI,GANADERIA,2,4,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1,2.0,1.0,2,3.0,2.0,1.0,1.0,1,3,3.0,2.0,1.0,1.0,1,3.0,1.0,2.0,1.0,1,2.0,1.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11036,11037,M,NINGUNA,NO,MAGDALENA,47318,URGUIRO,LA FLORIDA,GANADERIA,2,3,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,3.0,2.0,2.0,1.0,1,2.0,3.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11037,11038,M,NINGUNA,NO,MAGDALENA,47318,MURILLO,VIILA ODALIS,GANADERIA,1,2,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1,1.0,2.0,2,1.0,2.0,1.0,1.0,1,3,4.0,3.0,3.0,2.0,2,3.0,2.0,3.0,1.0,2,2.0,2.0,3.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11038,11039,M,NINGUNA,NO,MAGDALENA,47318,SAN PEDRO,LOS ANGELES,GANADERIA,1,2,1.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,1,2.0,2.0,4,2.0,2.0,1.0,1.0,1,1,2.0,2.0,1.0,2.0,1,3.0,2.0,3.0,1.0,2,2.0,3.0,2.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11039,11040,M,NINGUNA,NO,MAGDALENA,47318,MURILLO,LA ESPERANZA,GANADERIA,2,2,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,3,4.0,3.0,3.0,3.0,3,3.0,1.0,2.0,1.0,1,2.0,3.0,2.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11040,11041,M,NINGUNA,NO,MAGDALENA,47318,MURILLO,LA FLORESTA,GANADERIA,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,3,3.0,2.0,1.0,1.0,1,2.0,1.0,2.0,1.0,1,2.0,3.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11041,11042,M,NINGUNA,NO,MAGDALENA,47318,LOS ANDES,VILLA ELBA,GANADERIA,2,3,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1,1.0,2.0,1.0,2.0,1,3.0,1.0,2.0,1.0,1,1.0,1.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11042,11043,M,NINGUNA,NO,MAGDALENA,47318,GUAIMARAL,COROCITO,GANADERIA,2,1,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1,2.0,2.0,2,1.0,2.0,1.0,1.0,1,2,2.0,3.0,1.0,2.0,1,3.0,2.0,3.0,1.0,2,2.0,3.0,2.0,4.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11084,11085,M,NINGUNA,NO,MAGDALENA,47460,NUEVA GRANADA,MONTE ALEGRE,GANADERIA,1,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,2.0,4.0,4,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,2.0,3.0,3.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11085,11086,M,NINGUNA,NO,MAGDALENA,47460,EL TORO,VILLA DEL CARMEN,GANADERIA,2,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2,1.0,2.0,1.0,1.0,1,3.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
