cadena_cultivo|mes_anio|promedio_exportaciones|promedio_exportaciones_superior|promedio_exportaciones_inferior|valor_real
CADUCIFOLIOS|201901|24.3349534981756|53.2152955530411|0|0
CADUCIFOLIOS|201703|22.4598852272212|54.2328922677546|0|46
CADUCIFOLIOS|201801|25.3437816018249|55.5812560207873|0|48
CADUCIFOLIOS|201506|0.339944533442498|30.3740016492711|0|6
CADUCIFOLIOS|201702|47.1111361467341|76.8528408366077|17.8080092635914|34
CADUCIFOLIOS|202009|17.1918056522288|25.8039057945345|0|5
CADUCIFOLIOS|201611|29.5936340025948|61.0342667550732|0|0
CADUCIFOLIOS|201709|0.12489140585601|30.4818960164107|0|0
CADUCIFOLIOS|201803|28.620426853534|58.4256659320385|0|27
CADUCIFOLIOS|201712|41.5936190083813|69.6053562895143|11.8501237020062|144
CADUCIFOLIOS|201507|0.686070586648636|28.8101356482653|0|2
CADUCIFOLIOS|201605|17.1918056522288|46.6724667197705|0|18
CADUCIFOLIOS|201811|21.0823944169605|52.4776297073098|0|0
CADUCIFOLIOS|201604|21.3447807821339|50.3181336326507|0|28
CADUCIFOLIOS|201907|17.1918056522288|23.5809599055887|0|0
CADUCIFOLIOS|202104|17.1918056522288|47.2255854022991|0|5
CADUCIFOLIOS|201606|20.1623195545525|49.0159628650981|0|13
CADUCIFOLIOS|202103|19.4511760136821|52.7404880964105|0|19.4511760136821
CADUCIFOLIOS|201607|13.328578333464|43.6511686855114|0|0
CADUCIFOLIOS|201705|16.0001775853731|47.2255854022991|0|0
CADUCIFOLIOS|201911|16.4742951050274|44.2559230888196|0|0
CADUCIFOLIOS|201708|2.75524508197163|33.3785719654844|0|0
CADUCIFOLIOS|202105|17.1918056522288|47.2255854022991|0|5
CADUCIFOLIOS|201602|21.9676957510304|50.9026079042717|0|14
CADUCIFOLIOS|201612|48.9806478156686|77.7340394344727|19.4795097529044|12
CADUCIFOLIOS|202006|25.8675915170606|57.5968613078758|0|25.8675915170606
CADUCIFOLIOS|201809|5.37167024900309|33.7631009811566|0|10
CADUCIFOLIOS|201711|25.4553836309306|57.417249594298|0|110
CADUCIFOLIOS|201810|17.1918056522288|29.1543941262887|0|0
CADUCIFOLIOS|201610|17.1918056522288|19.1945924156028|0|0
CADUCIFOLIOS|201609|17.1918056522288|23.6196852026263|0|0
CADUCIFOLIOS|201509|18.5313343206016|50.6757492245153|0|14
CADUCIFOLIOS|201601|31.0745223144662|61.626240349339|0.923735749175966|24
CADUCIFOLIOS|202002|280.455373147903|310.685865109827|248.383415194209|280.455373147903
CADUCIFOLIOS|201807|17.1918056522288|31.2191698968053|0|0
CADUCIFOLIOS|201603|16.5018968609668|45.1617735928684|0|0
CADUCIFOLIOS|201902|25.0450458911606|57.1872133263423|0|0
CADUCIFOLIOS|201608|7.10037429727208|35.9340506249709|0|6
CADUCIFOLIOS|201704|26.6186585359147|57.4911608983281|0|0
CADUCIFOLIOS|201504|44.576209063272|73.5588384641055|13.9044050078335|53
CADUCIFOLIOS|201812|34.1686768283988|66.2426882565776|2.68995559859342|0
CADUCIFOLIOS|202005|17.1918056522288|47.2255854022991|0|5
CADUCIFOLIOS|202004|17.1918056522288|47.2255854022991|0|5
CADUCIFOLIOS|202012|101.137000522961|132.420386559542|73.5137402247655|101.137000522961
CADUCIFOLIOS|201910|4.44385746852561|36.7999783846546|0|0
CADUCIFOLIOS|202008|204.816562182828|235.864172138827|176.404939805302|204.816562182828
CADUCIFOLIOS|201904|36.8245231103255|67.8670065117832|7.48696609855371|46
CADUCIFOLIOS|202101|17.1918056522288|47.2255854022991|0|5
CADUCIFOLIOS|201909|10.7782398456371|43.5462989787953|0|6
CADUCIFOLIOS|201905|12.805302885578|42.4899395737371|0|44
CADUCIFOLIOS|202003|27.2302942089895|57.3069899522102|0|27.2302942089895
CADUCIFOLIOS|201512|34.4650209897851|64.2031292410115|3.31936236058056|30
CADUCIFOLIOS|201903|34.9720634723985|65.297739298787|5.97672404364182|12
CADUCIFOLIOS|201701|26.3449624670344|55.3509968833836|0|35
CADUCIFOLIOS|202102|288.648278983953|318.208609862406|256.891508199456|288.648278983953
CADUCIFOLIOS|201510|12.1972281242448|41.0848683107883|0|0
CADUCIFOLIOS|201706|11.1049876061164|42.4132178131803|0|0
CADUCIFOLIOS|202011|17.1918056522288|47.2255854022991|0|5
CADUCIFOLIOS|201806|1.91046180576138|31.2107445688907|0|2
CADUCIFOLIOS|201505|20.557265019168|50.172909264886|0|19
CADUCIFOLIOS|201508|2.58369447388634|32.1760238563616|0|0
CADUCIFOLIOS|201710|17.1918056522288|25.0200686766526|0|0
CADUCIFOLIOS|201804|31.7826635016559|61.1043822188472|3.45754112450625|34
