AP_Numero_BP;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Horizonte;AP_Activo_Productivo;AP_cantidad;AP_Departamento
157;1;AGRICOLA;5;Insumos agricolas (fertilizante) bultos;1064;BOLIVAR
157;1;AGRICOLA;5;Insumos agricolas (fertilizante) litros;4123;BOLIVAR
157;1;AGRICOLA;5;Caneca plástica de 200 lt;266;BOLIVAR
157;1;AGRICOLA;5;Motobomba;26;BOLIVAR
157;1;AGRICOLA;5;Rula calibre 22;133;BOLIVAR
157;1;AGRICOLA;5; Paladraga;133;BOLIVAR
157;1;AGRICOLA;5;Lima;133;BOLIVAR
150;1;AGRICOLA;7;No se han entregado activos;;BOLIVAR
149;1;AGRICOLA;;;;BOYACA
559;1;AGRICOLA;;;;BOYACA
264;1;AGRICOLA;;;;BOYACA
118;1;AGRICOLA;;;;CALDAS
693;1;AGRICOLA;;;;CALDAS
80;1;AGRICOLA;;;;CALDAS
81;1;AGRICOLA;;;;CALDAS
174;1;AGRICOLA;;;;CALDAS
318;1;AGRICOLA;;;;CALDAS
744;1;AGRICOLA;;;;CALDAS
31;1;AGRICOLA;;;;CAUCA
48;1;AGRICOLA;;;;CAUCA
66;1;AGRICOLA;;;;CAUCA
58;1;AGRICOLA;;;;CAUCA
84;1;AGRICOLA;;;;CAUCA
313;1;AGRICOLA;;;;CAUCA
231;1;AGRICOLA;;;;CAUCA
382;1;AGRICOLA;;;;CESAR
380;1;AGRICOLA;;;;CESAR
6;1;AGRICOLA;;;;CHOCO
44;1;AGRICOLA;;;;CHOCO
77;1;AGRICOLA;;;;CHOCO
136;1;AGRICOLA;;;;CHOCO
68;1;AGRICOLA;;;;CHOCO
140;1;AGRICOLA;;;;CHOCO
134;1;AGRICOLA;;;;CHOCO
163;1;AGRICOLA;;;;CHOCO
165;1;AGRICOLA;;;;CHOCO
365;1;AGRICOLA;;;;CHOCO
143;1;AGRICOLA;;;;CORDOBA
100;1;AGRICOLA;;;;CORDOBA
354;1;AGRICOLA;;;;CORDOBA
69;1;AGRICOLA;;;;CUNDINAMARCA
153;1;AGRICOLA;;;;CUNDINAMARCA
131;1;AGRICOLA;;;;CUNDINAMARCA
311;1;AGRICOLA;;;;CUNDINAMARCA
2085;1;AGRICOLA;;;;CUNDINAMARCA
378;1;AGRICOLA;12;No se han realizado entregas;;GUAINIA
108;1;AGRICOLA;;;;HUILA
129;1;AGRICOLA;;;;HUILA
142;1;AGRICOLA;;;;HUILA
151;1;AGRICOLA;;;;HUILA
117;1;AGRICOLA;;;;HUILA
114;1;AGRICOLA;;;;HUILA
552;1;AGRICOLA;;;;HUILA
307;1;AGRICOLA;;;;HUILA
167;1;AGRICOLA;12;No se han realizado entregas;;LA GUAJIRA
342;1;AGRICOLA;5;construcción de Unidades de huertas ;187;LA GUAJIRA
90;1;AGRICOLA;;;;MAGDALENA
17;1;AGRICOLA;12;Kit agricola;40;META
25;1;AGRICOLA;12;Banco de maquinaria;1;META
63;1;AGRICOLA;5;Kit agricola;40;META
72;1;AGRICOLA;8;Banco de maquinaria;1;META
101;1;AGRICOLA;7;Banco de maquinaria;1;META
132;1;AGRICOLA;12;Plantulas;2222;META
132;1;AGRICOLA;12;Kit de insumos agricolas;67;META
