Código,Descripción del producto,Mes,value,YYYY,MM,CADENA_PRODUCTIVA_ADR
090210,"Té verde sin fermentar, presentado en envases inmediatos con un contenido <= 3 kg",201504,10,2015,04,TE
060290,"Plantas vivas, incl. sus raíces, y micelios (exc. bulbos, cebollas, tubérculos, raíces y bulbos ...",201504,52,2015,04,PLANTULAS
100850,"Quinua ""Chenopodium quinoa""",201504,75,2015,04,QUINUA
070959,"Setas y demás hongos, comestibles, frescas o refrigeradas (exc. hongos del género ""Agaricus"" ...",201504,4,2015,04,CHAMPIÑON
070511,"Lechugas repolladas, frescas o refrigeradas",201504,9,2015,04,ACHICORIA
070320,Ajos frescos o refrigerados,201504,1,2015,04,AJO
070200,Tomates frescos o refrigerados,201504,2,2015,04,TOMATE
070960,"Frutos de las géneros ""Capsicum"" o ""Pimenta"", frescos o refrigerados",201504,3,2015,04,AJI
070190,"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)",201504,4,2015,04,PAPA
080420,"Higos, frescos o secos",201504,23,2015,04,HIGO
080940,"Ciruelas y endrinas, frescas",201504,1,2015,04,CIRUELA
070390,"Puerros y demás hortalizas aliáceas, incl. ""silvestres"", frescos o refrigerados (exc. cebollas, ...",201504,2,2015,04,PUERRO
080719,"Melones, frescos (exc. sandías)",201504,3,2015,04,MELON
070993,"Calabazas frescas o refrigeradas, la calabaza y calabazas ""Cucurbita spp.""",201504,0,2015,04,AHUYAMA
080520,"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e híbridos simil. de agrios ...",201504,0,2015,04,MANDARINA
080720,"Papayas, frescas",201504,19,2015,04,PAPAYA
070610,"Zanahorias y nabos, frescos o refrigerados (exc. remolachas para ensalada)",201504,1,2015,04,NABO
120740,"Semilla de sésamo ""ajonjolí"", incl. quebrantada",201504,0,2015,04,AJONJOLI
140190,"Caña, junco, mimbre, rafia, paja de cereales, limpiada, blanqueada o teñida, corteza de tilo ...",201504,5,2015,04,ESPARTO
060313,"Orquídeas ""flores y capullos"", cortadas para ramos o adornos, frescas",201504,2,2015,04,ORQUIDEA
070490,"Coles, incl. los repollos, y coliflores, coles rizadas, colinabos y productos comestibles simil. ...",201504,0,2015,04,COLIFLOR
070970,"Espinacas, incl. las de Nueva Zelanda, y armuelles, frescas o refrigeradas",201504,1,2015,04,ESPINACA
081020,"Frambuesas, zarzamoras, moras y moras-frambuesa, frescas",201504,3,2015,04,FRAMBUESA
060110,"Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...",201504,0,2015,04,CEBOLLA
060220,"Árboles, arbustos y matas, de frutas o de otros frutos comestibles, incl. injertados",201504,53,2015,04,CADUCIFOLIOS
070410,"Coles y brécoles ""broccoli"", frescos o refrigerados",201504,0,2015,04,BROCOLI
070690,"Remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles, frescas o refrigeradas ...",201504,0,2015,04,ACELGA
070700,"Pepinos y pepinillos, frescos o refrigerados",201504,0,2015,04,PEPINO COHOMBRO
070810,"Guisantes ""arvejas, chícharos"" ""Pisum sativum"", aunque estén desvainados, frescos o refrigerados",201504,0,2015,04,ARVEJA
070820,"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...",201504,1,2015,04,CHACHAFRUTO
070910,"Alcachofas ""alcauciles"", frescas o refrigeradas",201504,0,2015,04,ALCACHOFA
070920,"Espárragos, frescos o refrigerados",201504,0,2015,04,ASPARRAGUS
070930,"Berenjenas, frescas o refrigeradas",201504,0,2015,04,BERENJENA
070940,"Apio, fresco o refrigerado (exc. apionabo)",201504,0,2015,04,APIO
070990,"Las demás hortalizas, frescas o refrigeradas : Las demás",201504,0,2015,04,HORTALIZAS VARIAS
071350,"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...",201504,0,2015,04,HABA
071390,"Legumbres secas, legumbres sin cáscara, incluso mondadas o partidas (exc. ??guisantes, garbanzos, ...",201504,0,2015,04,GARBANZO
080119,"Cocos frescos, incluso sin cáscara o mondados (exc. ??en el interior de shell ""endocarpio"")",201504,0,2015,04,COCO
080261,"Nueces de macadamia, frescas o secas, con cáscara",201504,0,2015,04,MACADAMIA
080300,"Bananas o plátanos, frescos o secos",201504,0,2015,04,BANANITO
080410,"Dátiles, frescos o secos",201504,0,2015,04,DATIL
080540,"Toronjas o pomelos, frescos o secos",201504,0,2015,04,POMELO
080610,Uvas frescas,201504,0,2015,04,UVA
080711,"Sandías, frescas",201504,0,2015,04,PATILLA
080810,"Manzanas, frescas",201504,0,2015,04,MANZANA
080820,"Manzanas, peras y membrillos, frescos : Peras y membrillos",201504,0,2015,04,PERA
080920,"Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (incluidos los griñones ...",201504,0,2015,04,DURAZNO
081040,"Arándanos rojos, mirtilos y demás frutos del género ""Vaccinium"", frescos",201504,0,2015,04,AGRAZ
090411,"Pimienta del género ""Piper"" sin triturar ni pulverizar",201504,0,2015,04,PIMENTON
090500,Vainilla,201504,0,2015,04,VAINILLA
090810,"Nuez moscada, macis, amomos y cardamomos : Nuez moscada",201504,0,2015,04,CARDAMOMO
090910,"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro : Semillas ...",201504,0,2015,04,ANIS
091010,"Jengibre, azafrán, cúrcuma, tomillo, hojas de laurel, curri y demás especias : Jengibre",201504,0,2015,04,PEREJIL
100110,Trigo y morcajo (tranquillón) : Trigo duro,201504,0,2015,04,TRIGO
100300,Cebada,201504,0,2015,04,CEBADA
100400,Avena,201504,0,2015,04,AVENA
100610,"Arroz con cáscara o arroz ""paddy""",201504,0,2015,04,ARROZ
100700,Sorgo de grano (granífero),201504,0,2015,04,SORGO
100890,"Cereales (excepto el trigo y morcajo, centeno, cebada, avena, maíz, arroz, sorgo, trigo sarraceno, ...",201504,0,2015,04,CENTENO
120100,"Habas (porotos, frijoles, fréjoles) de soja (soya), incluso quebrantadas",201504,0,2015,04,SOYA
120210,"Cacahuetes (cacahuates, maníes) sin tostar ni cocer de otro modo, incluso sin cáscara o quebrantados ...",201504,0,2015,04,MANI
120600,"Semilla de girasol, incluso quebrantada",201504,0,2015,04,GIRASOL
120720,"Las demás semillas y frutos oleaginosos, incluso quebrantados : Semilla de algodón",201504,0,2015,04,AGUAJE
120730,Semilla de ricino,201504,0,2015,04,HIGUERILLA
121220,"Algarrobas, algas, remolacha azucarera y caña de azúcar, frescas, refrigeradas, congeladas ...",201504,0,2015,04,CAÑA AZUCARERA
121293,"Caña de azúcar, fresca, refrigerada, congelada o seca, incl. pulverizada",201504,0,2015,04,STEVIA
121490,"Nabos forrajeros, remolachas forrajeras, raíces forrajeras, heno, alfalfa, trébol, esparceta, ...",201504,20,2015,04,ALFALFA
090111,Café sin tostar ni descafeinar,201505,190448,2015,05,CAFE
060319,"Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...",201505,73981,2015,05,ASTROMELIA
080390,Plátanos frescos o secos (plátanos excl.),201505,62319,2015,05,PLATANO
060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",201505,22175,2015,05,CLAVEL
060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",201505,32087,2015,05,ROSA
060314,"Crisantemos ""flores y capullos"", cortados para ramos o adornos, frescos",201505,15029,2015,05,CRISANTEMOS
080440,"Aguacates ""paltas"", frescos o secos",201505,1080,2015,05,AGUACATE
081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya ...",201505,4095,2015,05,PITAHAYA
180310,"Pasta de cacao, sin desgrasar",201505,323,2015,05,CACAO
080430,"Piñas ""ananás"", frescas o secas",201505,104,2015,05,PIÑA
100510,Semillas de maíz para la siembra,201505,2417,2015,05,MAIZ
