,Unnamed: 0,BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo,AP_ID_ADR,AP_CADENA_PRODUCTIVA_ADR
100,100,117,117,"Construcción e implementación de sistema de secado solar para el manejo de café especial de 41 pequeños productores pertenecientes a la Asociación de cafeteros ""El desarrollo"" del municipio de Gigante, departamento del Huila",HUILA,GIGANTE,41,31,10,5,412121840,,412121840,82612500,494734340,82,347,05/22/2018 12:00:00 AM,2017,,1,AGRICOLA
101,101,118,118,"Fortalecer la producción de 156 productores de aguacate en los municipios de Manzanares, Aguadas y Samaná, departamento de Caldas, como diversificación de la vocación cafetera y el mejoramiento del nivel de ingreso de los productores",CALDAS,"MANZANARES, AGUADAS, SAMANÁ",156,121,35,75,1972185600,,1972185600,422136000,2394321600,156,108,02/15/2018 12:00:00 AM,2017,,1,AGRICOLA
102,102,119,119,"Fortalecer las capacidades técnicas, socio-empresariales y ambientales de 87 pequeños productores de granadilla en el municipio de Ancuyá, departamento de Nariño.",NARIÑO,ANCUYA,87,72,15,11,868027011,,868027011,716662200,1584689211,7,106,02/15/2018 12:00:00 AM,2016,,1,AGRICOLA
104,104,123,123,"Implementar la cadena productiva de tomate de mesa, para 62 familias productoras de los municipios de Puerres y Guaitarilla, en el departamento de Nariño",NARIÑO,PUERRES Y GUAITARILLA,62,43,19,10,1380752000,,1380752000,430716000,1811468000,6,548,07/17/2018 12:00:00 AM,2017,,1,AGRICOLA
105,105,124,124,Mejorar las capacidades productivas y generación de ingresos a pequeños productores rurales a través del cultivo de plátano hartón dominíco en el municipio de Clemencia Bolívar,BOLIVAR,CLEMENCIA,200,179,21,45,2000000000,,2000000000,575750000,2575750000,200,139,02/28/2018 12:00:00 AM,2017,,1,AGRICOLA
108,108,129,129,Fortalecimiento de las capacidades productivas de la Asociación Café Especial Salomón mediante la dotación de equipos para el proceso de transformación primaria y secundaria de café,HUILA,PITALITO,70,49,21,9,232852000,,232852000,1225999000,1458851000,141,205,03/23/2018 12:00:00 AM,2017,,1,AGRICOLA
110,110,131,131,"Fortalecimiento de las capacidades técnicas y productivas a través de asistencia técnica, establecimiento y sostenimiento de los cultivos de aguacate Hass en asociado con hortalizas de hoja, beneficiando a pequeños productores del departamento de Cundinamarca",CUNDINAMARCA,"TOPAIPÍ, PACHO, SAN ANTONIO DE TEQUENDAMA, CABRERA, CHOACHÍ, GAMA, GACHALÁ, GACHETÁ, PANDI, PASCA, FOSCA, FUSAGASUGÁ, EL COLEGIO",170,121,49,23,2479938287,,2479938287,912830408,3392768695,170,632,08/06/2018 12:00:00 AM,2017,,1,AGRICOLA
111,111,132,132,"Fortalecimiento de las capacidades productivas a 148 pequeños productores mediante la producción de cacao asociado con plátano, en los municipios de Acacías, Restrepo, Guamal, Cabuyaro, Puerto López, Vista Hermosa, El Dorado y El Castillo, en el departamento del Meta",META,"ACACÍAS, RESTREPO, CUMARAL, GUAMAL, CABUYARO, PUERTO LÓPEZ",148,87,61,62,1476660080,,1476660080,489288000,1965948080,148,270,04/16/2018 12:00:00 AM,2017,,1,AGRICOLA
112,112,133,133,"Implementar ciento veintiocho (128) hectáreas de naranja tangelo minneola con sistema de fertirrigación por goteo, con cosecha de agua lluvia para pequeños productores de los municipios de Curití, Cabrera y Galán del departamento de Santander",SANTANDER,"CURITÍ, CABRERA, JORDÁN, CEPITA, GALÁN",128,95,33,8,2000000000,,2000000000,391568000,2391568000,128,498,07/09/2018 12:00:00 AM,2017,,1,AGRICOLA
113,113,134,134,Establecimiento de 10 hectáreas de cultivo de caña panelera y adecuación de 2 trapiches para incrementar la productividad en el municipio del Litoral del San Juan - Chocó (Resguardos indígenas de las comunidades de Taparalito y Pichima Quebrada),CHOCO,LITORAL DEL SAN JUAN,20,20,0,20,137396400,,137396400,59584000,196980400,10,348,05/22/2018 12:00:00 AM,2017,,1,AGRICOLA
115,115,136,136,"Siembra, sostenimiento y producción de cultivos de maíz y plátano en las comunidades de Alto Jarando y Alto Andiado respectivamente y la producción de cerdos en ceba en la comunidad de Cevede del resguardo indígena Embera Katío del Alto Andágueda zona 1",CHOCO,BAGADÓ,127,115,12,118,336281247,,336281247,184327940,520609187,26,246,04/11/2018 12:00:00 AM,2017,,1,AGRICOLA
117,117,140,140,"Siembra, sostenimiento y producción de cultivos de maíz para la comunidad Alto Brisas; plátano para la comunidad de Alto Moindó y producción de ganado en la comunidad de Cascajero, las cuales hacen parte de la zona 4 del resguardo indígena Embera Katío del Alto Andágueda",CHOCO,BAGADÓ,124,96,28,105,418498400,,418498400,120116000,538614400,143,299,05/03/2018 12:00:00 AM,2017,,1,AGRICOLA
