Código;Descripción del producto;Valor exportado en 2018-M05;Valor exportado en 2018-M06;Valor exportado en 2018-M07;Valor exportado en 2018-M08;Valor exportado en 2018-M09;Valor exportado en 2018-M10;Valor exportado en 2018-M11;Valor exportado en 2018-M12;Valor exportado en 2019-M01;Valor exportado en 2019-M02;Valor exportado en 2019-M03;Valor exportado en 2019-M04;Valor exportado en 2019-M05;Valor exportado en 2019-M06;Valor exportado en 2019-M07;Valor exportado en 2019-M08;Valor exportado en 2019-M09;Valor exportado en 2019-M10;Valor exportado en 2019-M11;Valor exportado en 2019-M12
'070990;Las demás hortalizas, frescas o refrigeradas : Las demás;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071021;"Guisantes ""arvejas, chícharos"" ""Pisum sativum"", aunque estén cocidas en agua o vapor, congelados";0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0
'071022;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", aunque estén ...";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
'071029;"Hortalizas de vaina, incl. ""silvestres"", aunque estén cocidas en agua o vapor, congeladas (exc. ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071030;Espinacas, incl. las de Nueva Zelanda, y armuelles, incl. cocidas con agua o vapor, congeladas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071040;Maíz dulce, incl. cocido con agua o vapor, congelado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071120;Aceitunas conservadas provisionalmente, p.ej., con gas sulfuroso o con agua salada, sulfurosa ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071130;Alcaparras conservadas provisionalmente, p.ej., con gas sulfuroso o con agua salada, sulfurosa ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071151;"Setas y demás hongos del género ""Agaricus"", conservadas provisionalmente, p.ej., con gas sulfuroso ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071159;Setas y demás hongos, conservadas provisionalmente, p.ej., con gas sulfuroso o con agua salada, ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071231;"Hongos del género ""Agaricus"", secos, incl. los cortados en trozos o en rodajas o los triturados ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071239;Setas y demás hongos y trufas, secas, incl. las cortadas en trozos o en rodajas o las trituradas ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071320;Garbanzos secos desvainados, aunque estén mondados o partidos;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071332;"Judías ""porotos, alubias, frijoles, fréjoles"" Adzuki ""Phaseolus"", ""Vigna angularis"", seca y ...";0;0;0;0;0;0;0;2;0;1;0;4;0;0;0;0;15;0;0;0
'071335;"Alubias secas ""Vigna unguiculata"", aunque estén mondadas o partidas";0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
'071339;"Alubias secas ""Vigna y Phaseolus"", aunque estén mondadas o partidas (exc. ??judías de las especies ...";0;57;0;0;111;55;56;0;0;57;53;106;0;53;0;55;55;55;83;0
'071350;"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071390;Legumbres secas, legumbres sin cáscara, incluso mondadas o partidas (exc. ??guisantes, garbanzos, ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'071420;"Batatas ""boniatos, camotes"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080112;"Cocos frescos en el interior de shell ""endocarpio""";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
'080121;Nueces del Brasil, frescas o secas, con cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080122;Nueces del Brasil, frescas o secas, sin cáscara;24;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0
'080131;"Nueces de marañón [merey, cajuil, anacardo, ""cajú""], frescas o secas, con cáscara";0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;24;0;0
'080132;"Nueces de marañón [merey, cajuil, anacardo, ""cajú""], frescas o secas, sin cáscara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080211;Almendras, frescas o secas, con cáscara;0;0;0;0;3;0;9;6;0;0;0;0;0;0;0;0;0;0;0;0
'080212;Almendras frescas o secas, sin cáscara;4;0;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
'080221;"Avellanas ""Corylus spp."", frescas o secas, con cáscara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080222;"Las avellanas frescas o secas o avellanas ""Corylus spp."", Sin cáscara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080231;Nueces frescas o secas, con cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080232;Nueces frescas o secas, sin cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080250;Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados : Pistachos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080252;Pistachos frescos o secos, sin cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080260;Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados : Nueces de macadamia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080261;Nueces de macadamia, frescas o secas, con cáscara;0;0;203;0;0;110;0;110;0;110;0;90;0;0;90;0;0;0;107;0
'080262;Nueces de macadamia, frescas o secas, sin cáscara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080290;Frutos secos, frescos o secos, incluso sin cáscara o mondados (exc. ??cocos, nueces del Brasil, ...;1;0;0;17;2;0;2;6;3;0;2;0;0;0;0;0;0;0;0;0
'080300;Bananas o plátanos, frescos o secos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080410;Dátiles, frescos o secos;0;0;0;0;7;1;0;0;0;0;0;0;0;13;0;1;0;0;0;0
'080520;"Mandarinas, incl. las tangerinas y satsumas; clementinas, wilkings e híbridos simil. de agrios ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080522;Clementinas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
'080529;Wilkings e híbridos similares de agrios, frescos o secos;27;32;7;3;6;4;16;9;0;0;0;0;8;9;9;10;0;0;0;0
'080590;"Agrios ""cítricos"", frescos o secos (exc. naranjas, limones ""Citrus limon, Citrus limonum"", ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080610;Uvas frescas;11;0;2;2;7;10;4;9;13;0;1;6;3;1;1;1;0;1;0;0
'080620;Secas, incl. las pasas;0;1;50;0;3;2;0;3;0;0;0;0;39;0;0;0;0;0;0;0
'080820;Manzanas, peras y membrillos, frescos : Peras y membrillos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080840;Membrillos frescos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080910;"Albaricoques ""damascos, chabacanos"", frescos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080920;Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (incluidos los griñones ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080921;"Guindas ""Prunus cerasus"", frescas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080929;Cerezas frescas (excepto las cerezas ácidas);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'080930;"Melocotones ""duraznos"", incl. los griñones y las nectarinas, frescos";1;1;1;32;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0
'080940;Ciruelas y endrinas, frescas;3;2;2;2;2;2;2;3;1;1;1;4;2;2;1;1;1;1;2;0
'081010;"Fresas ""frutillas"", frescas";14;11;9;77;9;7;6;33;4;29;6;0;0;1;0;5;0;0;2;0
'081020;Frambuesas, zarzamoras, moras y moras-frambuesa, frescas;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
'081050;Kiwis, frescos;1;0;0;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
'081110;"Fresas ""frutillas"", sin cocer o cocidas en agua o vapor, congeladas, con adición de azúcar ...";4;4;14;9;15;16;2;0;0;1;7;2;9;1;4;2;1;3;3;0
'081210;Cerezas conservadas provisionalmente, p.ej. con gas sulfuroso o con agua salada o sulfurosa ...;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'081290;Frutas y otros frutos conservados provisionalmente, p.ej. con gas sulfuroso o con agua salada ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'081310;"Albaricoques ""damascos, chabacanos"", secos";0;3;3;6;0;15;8;0;11;0;0;0;0;0;0;0;0;0;0;0
'081320;Ciruelas, secas;0;3;0;0;9;4;6;9;0;0;0;0;0;1;0;0;0;0;0;0
'081330;Manzanas, secas;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;3;0
'090300;Yerba mate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090411;"Pimienta del género ""Piper"" sin triturar ni pulverizar";0;0;0;0;0;0;0;20;0;0;0;0;0;1;0;0;0;0;0;0
'090412;"Pimienta del género ""Piper"", triturada o pulverizada";0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090420;"Pimienta del género Piper; frutos de los géneros Capsicum o Pimenta, secos, triturados o pulverizados ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090500;Vainilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090510;Vainilla, sin triturar ni pulverizar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
'090610;Canela y flores de canelero, sin triturar ni pulverizar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090611;"Canela ""Cinnarmomum zeylanicum Blume"" (exc. sin triturar ni pulverizar)";1;0;0;0;0;0;2;195;0;0;6;0;0;0;0;0;0;0;1;0
'090619;"Canela y flores del árbol de canela (exc. canela ""Cinnamomum zeylanicum Blume"" y sin triturar ...";0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090620;Canela y flores de canelero, trituradas o pulverizadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090700;Clavo (frutos, clavillos y pedúnculos);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090710;Clavo de olor, frutos, clavillos y pedúnculos, sin triturar ni pulverizar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090720;Clavo de olor, frutos, clavillos y pedúnculos, triturada o pulverizada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090810;Nuez moscada, macis, amomos y cardamomos : Nuez moscada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090811;Nuez moscada, sin triturar ni pulverizar;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090812;Nuez moscada, triturada o pulverizada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090821;Mace, sin triturar ni pulverizar;0;0;23;0;0;15;0;36;0;0;0;21;15;0;8;0;20;0;0;0
'090830;Nuez moscada, macis, amomos y cardamomos : Amomos y cardamomos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090831;Cardamomo, sin triturar ni pulverizar;0;13;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0
'090832;Cardamomo, triturada o pulverizada;0;26;0;0;0;0;0;20;0;0;0;0;0;2;26;0;0;0;0;0
'090910;"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro : Semillas ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090920;"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro : Semillas ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090921;Semillas de cilantro, sin triturar ni pulverizar;0;0;0;0;0;0;0;0;3;0;1;1;1;3;0;1;1;1;1;0
'090922;Semillas de cilantro, triturados o pulverizados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090930;"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro : Semillas ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090931;Semillas de comino, sin triturar ni pulverizar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090932;Semillas de comino, triturada o pulverizada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090940;"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro : Semillas ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090950;"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro : Semillas ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'090961;Bayas de enebro y las semillas de anís, badiana, alcaravea o hinojo, sin triturar ni pulverizar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'091010;Jengibre, azafrán, cúrcuma, tomillo, hojas de laurel, curri y demás especias : Jengibre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'091011;Jengibre, sin triturar ni pulverizar;0;0;0;0;0;0;0;0;0;0;0;19;1;0;0;0;0;0;0;0
'091012;Jengibre, triturados o pulverizados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'091020;Azafrán;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'091030;Cúrcuma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
'091040;Tomillo y hojas de laurel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
