Subclase,Índice,Mes,Año,Cultivo
PAPAS,118.24,9,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,107.39,9,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",139.86,9,2019,ÑAME
TOMATE,111.36,9,2019,TOMATE
CEBOLLA,103.0,9,2019,CEBOLLA
ZANAHORIA,124.08,9,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",101.56,9,2019,LENTEJA
ARROZ,108.95,8,2019,ARROZ
AVENA Y SUS DERIVADOS,95.92,8,2019,AVENA
TRIGO Y SUS DERIVADOS,103.09,8,2019,TRIGO
MAIZ Y SUS DERIVADOS,104.77,8,2019,MAIZ
NARANJAS,112.69,8,2019,NARANJA
BANANOS,108.98,8,2019,BANANO
TOMATE DE ARBOL,110.75,8,2019,TOMATE DE ARBOL
MORAS,105.24,8,2019,MORA
PLATANOS,122.12,8,2019,PLATANO
PAPAS,118.2,8,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,107.53,8,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",140.22,8,2019,ÑAME
TOMATE,122.56,8,2019,TOMATE
CEBOLLA,109.42,8,2019,CEBOLLA
ZANAHORIA,118.7,8,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",101.23,8,2019,LENTEJA
ARROZ,106.64,7,2019,ARROZ
AVENA Y SUS DERIVADOS,95.78,7,2019,AVENA
TRIGO Y SUS DERIVADOS,102.28,7,2019,TRIGO
MAIZ Y SUS DERIVADOS,104.29,7,2019,MAIZ
NARANJAS,113.35,7,2019,NARANJA
BANANOS,107.71,7,2019,BANANO
TOMATE DE ARBOL,124.92,7,2019,TOMATE DE ARBOL
MORAS,108.21,7,2019,MORA
PLATANOS,126.7,7,2019,PLATANO
PAPAS,127.25,7,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,110.14,7,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",130.95,7,2019,ÑAME
TOMATE,134.49,7,2019,TOMATE
CEBOLLA,115.59,7,2019,CEBOLLA
ZANAHORIA,125.37,7,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",100.2,7,2019,LENTEJA
ARROZ,102.88,6,2019,ARROZ
AVENA Y SUS DERIVADOS,96.18,6,2019,AVENA
TRIGO Y SUS DERIVADOS,102.01,6,2019,TRIGO
MAIZ Y SUS DERIVADOS,103.44,6,2019,MAIZ
NARANJAS,110.51,6,2019,NARANJA
BANANOS,104.43,6,2019,BANANO
TOMATE DE ARBOL,116.49,6,2019,TOMATE DE ARBOL
MORAS,113.51,6,2019,MORA
PLATANOS,125.23,6,2019,PLATANO
PAPAS,127.52,6,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,112.66,6,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",123.65,6,2019,ÑAME
TOMATE,152.39,6,2019,TOMATE
CEBOLLA,102.49,6,2019,CEBOLLA
ZANAHORIA,122.74,6,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",100.86,6,2019,LENTEJA
ARROZ,101.98,5,2019,ARROZ
AVENA Y SUS DERIVADOS,96.3,5,2019,AVENA
TRIGO Y SUS DERIVADOS,101.28,5,2019,TRIGO
MAIZ Y SUS DERIVADOS,101.75,5,2019,MAIZ
NARANJAS,110.03,5,2019,NARANJA
BANANOS,104.33,5,2019,BANANO
TOMATE DE ARBOL,105.71,5,2019,TOMATE DE ARBOL
MORAS,116.03,5,2019,MORA
PLATANOS,118.26,5,2019,PLATANO
PAPAS,125.14,5,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,113.3,5,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",122.63,5,2019,ÑAME
TOMATE,141.31,5,2019,TOMATE
CEBOLLA,101.22,5,2019,CEBOLLA
ZANAHORIA,113.36,5,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",100.82,5,2019,LENTEJA
ARROZ,101.41,4,2019,ARROZ
AVENA Y SUS DERIVADOS,96.49,4,2019,AVENA
TRIGO Y SUS DERIVADOS,100.26,4,2019,TRIGO
MAIZ Y SUS DERIVADOS,99.76,4,2019,MAIZ
NARANJAS,113.49,4,2019,NARANJA
BANANOS,103.08,4,2019,BANANO
TOMATE DE ARBOL,102.45,4,2019,TOMATE DE ARBOL
MORAS,119.19,4,2019,MORA
PLATANOS,112.68,4,2019,PLATANO
PAPAS,126.4,4,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,110.2,4,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",112.62,4,2019,ÑAME
TOMATE,102.07,4,2019,TOMATE
CEBOLLA,105.17,4,2019,CEBOLLA
ZANAHORIA,107.06,4,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",100.75,4,2019,LENTEJA
ARROZ,101.29,3,2019,ARROZ
AVENA Y SUS DERIVADOS,96.84,3,2019,AVENA
TRIGO Y SUS DERIVADOS,99.62,3,2019,TRIGO
MAIZ Y SUS DERIVADOS,99.08,3,2019,MAIZ
NARANJAS,110.85,3,2019,NARANJA
BANANOS,99.46,3,2019,BANANO
TOMATE DE ARBOL,100.05,3,2019,TOMATE DE ARBOL
MORAS,107.34,3,2019,MORA
PLATANOS,104.48,3,2019,PLATANO
PAPAS,116.4,3,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,102.34,3,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",100.12,3,2019,ÑAME
TOMATE,94.28,3,2019,TOMATE
CEBOLLA,105.93,3,2019,CEBOLLA
ZANAHORIA,115.45,3,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",100.16,3,2019,LENTEJA
ARROZ,101.22,2,2019,ARROZ
AVENA Y SUS DERIVADOS,97.61,2,2019,AVENA
TRIGO Y SUS DERIVADOS,99.92,2,2019,TRIGO
MAIZ Y SUS DERIVADOS,99.29,2,2019,MAIZ
NARANJAS,108.03,2,2019,NARANJA
BANANOS,96.55,2,2019,BANANO
TOMATE DE ARBOL,97.1,2,2019,TOMATE DE ARBOL
MORAS,102.47,2,2019,MORA
PLATANOS,97.43,2,2019,PLATANO
PAPAS,109.27,2,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,100.32,2,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",100.44,2,2019,ÑAME
TOMATE,98.38,2,2019,TOMATE
CEBOLLA,111.74,2,2019,CEBOLLA
ZANAHORIA,125.61,2,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",99.91,2,2019,LENTEJA
ARROZ,100.55,1,2019,ARROZ
AVENA Y SUS DERIVADOS,98.85,1,2019,AVENA
TRIGO Y SUS DERIVADOS,100.17,1,2019,TRIGO
MAIZ Y SUS DERIVADOS,99.65,1,2019,MAIZ
NARANJAS,108.84,1,2019,NARANJA
BANANOS,97.59,1,2019,BANANO
TOMATE DE ARBOL,95.46,1,2019,TOMATE DE ARBOL
MORAS,103.11,1,2019,MORA
PLATANOS,98.54,1,2019,PLATANO
PAPAS,106.5,1,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,103.62,1,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",101.67,1,2019,ÑAME
TOMATE,114.1,1,2019,TOMATE
CEBOLLA,118.91,1,2019,CEBOLLA
ZANAHORIA,118.82,1,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",99.94,1,2019,LENTEJA
