AP_Numero_BP;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Id_Predio;AP_Departamento;AP_Municipio;AP_Longitud_Predio 12;AP_Latitud_Predio 13;AP_Longitud_Predio 13;AP_Latitud_Predio 14;AP_Longitud_Predio 14;AP_Latitud_Predio 15;AP_Latitud_Predio 16;AP_Latitud_Predio 17;AP_Latitud_Predio 18;AP_Latitud_Predio 19;AP_Latitud_Predio 20;AP_Latitud_Predio 21;AP_Latitud_Predio 22;AP_Latitud_Predio 23;AP_Latitud_Predio 24;AP_Latitud_Predio 25
89;1;AGRICOLA;16;ANTIOQUIA;Andes;-75.867555;5.747399;-75.867555;5.747644;-75.866405;5.746698;-75.86716;5.746541;;;;;;;;
89;1;AGRICOLA;17;ANTIOQUIA;Andes;-75.8527;5.679465;-75.851569;5.679802;-75.851488;5.680122;-75.851574;5.680524;;;;;;;;
89;1;AGRICOLA;18;ANTIOQUIA;Andes;-75.852587;5.679425;-75.852847;5.679185;-75.85333;5.679742;-75.852885;5.6808;;;;;;;;
89;1;AGRICOLA;19;ANTIOQUIA;Andes;-75.853747;5.668115;-75.853163;5.667904;-75.852646;5.6677;-75.852408;5.667222;;;;;;;;
89;1;AGRICOLA;20;ANTIOQUIA;Andes;-75.837175;5.694605;-75.83634;5.69542;-75.836304;5.694303;-75.83545;5.694532;;;;;;;;
89;1;AGRICOLA;21;ANTIOQUIA;Andes;-75.855628;5.663261;-75.855237;5.663579;-75.855452;5.663813;-75.855979;5.663552;;;;;;;;
89;1;AGRICOLA;22;ANTIOQUIA;Andes;-75.917797;5.599847;-75.91844;5.600306;-75.918633;5.59963;-75.91837;5.59932;;;;;;;;
89;1;AGRICOLA;23;ANTIOQUIA;Andes;-75.85074;5.652909;-75.850469;5.6537;-75.850621;5.652722;-75.850264;5.652526;;;;;;;;
89;1;AGRICOLA;24;ANTIOQUIA;Andes;-75.85547;5.653915;-75.855229;5.653857;-75.855471;5.653493;-75.855634;5.653753;;;;;;;;
89;1;AGRICOLA;25;ANTIOQUIA;Andes;-75.856721;5.653395;-75.85598;5.653708;-75.855238;5.653715;-75.854851;5.654266;;;;;;;;
89;1;AGRICOLA;26;ANTIOQUIA;Andes;-75.859413;5.641865;-75.85854;5.641232;-75.858893;5.64015;-75.859875;5.639819;;;;;;;;
89;1;AGRICOLA;27;ANTIOQUIA;Andes;-75.909424;5.554654;-75.90979;5.554846;-75.909564;5.555272;-75.909293;5.55518;;;;;;;;
89;1;AGRICOLA;28;ANTIOQUIA;Andes;-75.850677;5.632677;-75.850513;5.633967;-75.85176;5.634282;-75.851312;5.63543;;;;;;;;
89;1;AGRICOLA;29;ANTIOQUIA;Andes;-75.851468;5.655292;-75.85177;5.655934;-75.851501;5.656256;-75.851765;5.655991;;;;;;;;
89;1;AGRICOLA;30;ANTIOQUIA;Andes;-75.867163;5.750181;-75.867433;5.749879;-75.867131;5.749515;-75.86684;5.749785;;;;;;;;
89;1;AGRICOLA;31;ANTIOQUIA;Andes;-75.8738;5.733269;-75.873387;5.732756;-75.87446;5.732265;-75.872523;5.732467;;;;;;;;
89;1;AGRICOLA;32;ANTIOQUIA;Andes;-75.875951;5.755621;-75.87523;5.755781;-75.874139;5.755704;-75.87381;5.755214;;;;;;;;
89;1;AGRICOLA;33;ANTIOQUIA;Andes;-75.867417;5.734984;-75.868303;5.733528;-75.86746;5.733815;-75.86693;5.731619;;;;;;;;
89;1;AGRICOLA;34;ANTIOQUIA;Andes;-75.873444;5.737241;-75.873325;5.736423;-75.873135;5.735537;-75.872201;5.736179;;;;;;;;
89;1;AGRICOLA;35;ANTIOQUIA;Andes;-75.869731;5.710991;-75.870355;5.710769;-75.870333;5.71019;-75.869697;5.710178;;;;;;;;
89;1;AGRICOLA;36;ANTIOQUIA;Andes;-75.854258;5.674991;-75.854486;5.674562;-75.854856;5.674912;-75.854482;5.675409;;;;;;;;
89;1;AGRICOLA;37;ANTIOQUIA;Andes;-75.876498;5.747615;-75.875879;5.747125;-75.875216;5.746658;-75.874834;5.745874;;;;;;;;
89;1;AGRICOLA;38;ANTIOQUIA;Andes;-75.922308;5.635144;-75.922915;5.635151;-75.922842;5.634823;-75.922154;5.63487;;;;;;;;
89;1;AGRICOLA;39;ANTIOQUIA;Andes;-75.96555;5.66482;-75.964702;5.66391;-75.965549;5.66333;-75.9669;5.663905;;;;;;;;
