AP_Numero_BP;AP_Porcentaje_Avance;AP_Beneficiarios_Definitivos;AP_Cant_Afrocolombiano;AP_Cant_Campesinos;AP_Cant_Mujeres;AP_Cant_Indigenas;AP_Cant_Hombre;AP_Cant_MujerRural;AP_Raizal;AP_Cant_Victimas;AP_Sector_Productivo;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Nombre_Proyecto;AP_Fecha_Resolución;AP_Departamento
6;70;35;15;20;5;0;30;0;0;0;Productivo-mejoramiento cultivo;1;AGRICOLA;Mejorar las capacidades técnicas de adecuación, siembra y sostenimiento de plátano para la construcción de paz beneficiando 35 familias en el municipio de Carmen del Darien - Chocó.;29/06/2017;CHOCO
44;88.25;73;0;0;21;73;52;0;0;48;Agricola;1;AGRICOLA;Siembra, producción y sostenimiento de cultivos de Cacao, Maíz y Plátano para las Comunidades Indígenas Alto Palmira, Esperanza y Santa Isabel, de la zona Nro. 3 del resguardo indígena Emberá Katío del Alto Andágueda.;12/10/2017;CHOCO
77;89;72;0;0;17;72;55;0;0;12;Agricola;1;AGRICOLA;Siembra y producción y sostenimiento de cultivos de maíz y plátano para las Comunidades Indígenas de Quebrada Monte y el Salto y la producción de cerdos de ceba en la comunidad de Iguanero de la Zona N°2 del resguardo indígena Embera Katío del Alto Andágueda.;23/03/2018;CHOCO
136;100;127;0;0;12;127;115;0;0;118;Agricola;1;AGRICOLA;Siembra, sostenimiento y producción, de cultivos de maíz y plátano en las comunidades de Alto Jarando y Alto Andiado respectivamente y la producción de cerdos en ceba en la comunidad de Cevede del resguardo indígena Embera Katío del Alto Andágueda zona 1.;11/04/2018;CHOCO
68;55;300;0;0;120;300;180;0;0;241;Agricola;1;AGRICOLA;Más cacao más paz.;16/04/2018;CHOCO
140;10;124;0;0;28;124;96;0;0;105;Agricola;1;AGRICOLA;"Siembra, sostenimiento y producción de cultivos de maíz para la comunidad Alto Brisas; plátano para la comunidad de Alto Moindó y producción de ganado en la comunidad de Cascajero, las cuales hacen parte de la zona 4 del resguardo indígena Emberá Katio del Alto Andágueda.";3/05/2018;CHOCO
134;64.75;20;0;0;0;20;20;0;0;20;Agricola;1;AGRICOLA;Establecimiento de 10 hectáreas de cultivo de caña panelera y adecuación de 2 trapiches para incrementar la productividad en el municipio del Litoral del San Juan - Chocó, (Resguardos indígenas de las comunidades de Taparalito y Pichima Quebrada).;22/05/2018;CHOCO
163;10;40;40;0;38;0;2;0;0;31;Agricola;1;AGRICOLA;Siembra, producción y sostenimiento del cultivo de Plátano (Musa Paradisiaca) por mujeres rurales pertenecientes al consejo comunitario Pedeguita y Mancilla en el municipio de Riosucio en el departamento del Choco;30/05/2018;CHOCO
165;64.13;30;30;0;11;0;19;0;0;15;Agricola;1;AGRICOLA;"Siembra y establecimiento de cacao y plátano, en 30 hectáreas de las comunidades de Boa de Pepe y Querá; pertenecientes al Consejo Comunitario General del Rio Baudó y sus afluentes ""ACABA"" municipio del Medio Baudó, departamento del Chocó.";26/07/2018;CHOCO
365;5;40;12;0;1;0;39;0;0;28;Agricola;1;AGRICOLA;"Siembra, mantenimiento y adecuacion de un sistema agroforestal ( Coco-platano-Yuca-Ñame-Papa China ) que nos permita el mejoramiento de las capacidades productivas al Consejo Comunitario de la Costa Pacifica CONCOSTA en la Comunidad de Belen de Docampado localizados en el Municipio de Bajo Baudo en el Departamento del Choco.;";27/11/2019;CHOCO
143;95;93;0;93;29;0;64;0;0;37;Agricola;1;AGRICOLA;Fortalecimiento de las capacidades productivas y organizacionales de pequeños productores rurales, mediante el fortalecimiento de 93 hectáreas de plátano hartón en el municipio de Monteria , en el departamento de Córdoba.;22/05/2018;CORDOBA
100;95;66;0;66;30;0;36;0;0;13;Agricola;1;AGRICOLA;Fortalecer los rendimientos productivos y la generación de ingresos de 66 productores de plátano hartón a través de la transferencia de conocimiento y asistencia técnica en los municipios de Puerto Escondido, San Bernardo del Viento, en el departamento de Córdoba.;22/05/2018;CORDOBA
354;15;79;0;79;20;0;59;0;0;15;Agricola;1;AGRICOLA;Fortalecimiento de las capacidades productivas y aumento en la generación de ingresos de pequeños productores de plátano hartón en los municipios de los Córdobas y Moñitos, departamento de Córdoba.;27/11/2019;CORDOBA
69;95;227;0;219;54;0;173;0;0;8;Agricola, Agro-Industrial;1;AGRICOLA;Fortalecer la productividad de 7 organizaciones lecheras en los municipios de Cogua, Suesca, Lenguazaque, Guatavita, Ubate, Silvania, San Francisco y 2 organizaciones de caña panelera de los municipios de Ninaima y Villeta en el departamento de Cundinamarca, mediante la adquisición de maquinaria agrícola y capacitaciones.;11/04/2018;CUNDINAMARCA
