Id_Usuario;Sexo;Tipo_Poblacional;Discapacidad;Departamento;Municipio;Vereda;Predio;Cadena_Productiva;C1A1;C2A1;C3A1;C4A1;C5A1;C6A1;C7A1;C8A1;C9A1;C10A1;NA1;C1A2;C2A2;C3A2;C4A2;C5A2;C6A2;C7A2;NA2;C1A3;C2A3;C3A3;C4A3;C5A3;NA3;C1A4;C2A4;C3A4;C4A4;NA4;C1A5;C2A5;C3A5;C4A5;NA5;CLAS_GRAL;CADENA_PRODUCTIVA_ADR;ID_ADR;Tipo de proyecto
3552;F;NINGUNA;NO;BOLIVAR;13052;NUEVA ESPERANZA;MIS DESEOS;MAIZ;4;4;2;1;1;1;1;1;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3557;M;NINGUNA;NO;BOLIVAR;13873;ALGARROBO;PESCADERO;MAIZ;4;4;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3560;M;NINGUNA;NO;BOLIVAR;13042;ZABELETA;EL PORVENIR;MAIZ;3;3;2;2;2;2;1;2;2;1;1;2;2;2;2;2;1;2;1;2;1;1;2;2;1;2;1;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3567;M;NINGUNA;NO;BOLIVAR;13433;EVITAR;CAÑO MACHO;MAIZ;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3577;M;NINGUNA;NO;BOLIVAR;13894;ISLA PROVIDENCIA;ISLA PROVIDENCIA;MAIZ;1;2;1;2;2;1;1;1;1;2;1;1;2;2;1;1;2;1;1;1;1;1;1;2;1;2;2;2;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
3583;M;NINGUNA;NO;BOLIVAR;13647;BAYANO;LOS PAJAROS;MAIZ;3;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3593;F;NINGUNA;NO;BOLIVAR;13442;FLORIDO;ESFUERZO;MAIZ;4;1;2;2;3;3;1;1;1;1;1;4;2;1;1;1;1;1;1;1;2;3;1;2;1;1;2;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3595;F;NINGUNA;NO;BOLIVAR;13442;LA BOTELLA;MIS RAICES;MAIZ;4;1;2;2;3;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3596;F;NINGUNA;NO;BOLIVAR;13442;LA BOTELLA;SOLSOMBRA;MAIZ;4;1;2;2;3;3;1;1;1;1;1;4;2;1;1;1;1;1;1;3;3;3;1;2;2;1;2;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3612;F;NINGUNA;NO;BOLIVAR;13650;LAZARO;PLAYA;MAIZ;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;MAIZ;012504;Asistencia Tecnica
