DEPARTAMENTO,MUNICIPIO,Total beneficiarios,Valor cofinanciación,Valor Contrapartida,YEAR,CP,CICLO_CULTIVO,RENDIMIENTO,PRODUCTIVIDAD,key,cluster
CAQUETA,MILAN,0,67998800,33875000,2012,CHONTADURO,PERMANENTE,3.0,0.868421052631579,891,0
CALDAS,VILLAMARIA,20,70303604,32709714,2013,BREVO,PERMANENTE,15.0,1.0,674,0
CESAR,CHIMICHAGUA,68,209432200,125412713,2014,MAIZ,TRANSITORIO,0.9,0.7166666666666667,375,2
CALDAS,CHINCHINA,16,49245083,34972500,2014,AGUACATE,PERMANENTE,10.0,1.0,412,0
CAUCA,SUAREZ,20,64400000,66980000,2015,LULO,PERMANENTE,11.0,0.40625,74,2
BOLIVAR,MORALES,180,529747620,165946200,2015,ALGODON,TRANSITORIO,1.29,0.9142857142857143,113,0
NARIÃ‘O,BUESACO,48,0,0,2013,TOMATE DE ARBOL,PERMANENTE,7.0,0.8888888888888888,572,0
CAUCA,SANTANDER DE QUILICHAO,0,0,0,2013,YUCA,ANUAL,15.0,0.8,644,0
CAUCA,BUENOS AIRES,68,209440000,114972530,2014,CAÑA PANELERA,PERMANENTE,6.3,0.020562770562770564,390,2
CALDAS,LA MERCED,80,156000000,62000000,2015,TOMATE,TRANSITORIO,35.5,1.0,104,0
BOLIVAR,MORALES,20,77280000,12750000,2015,ALGODON,TRANSITORIO,1.29,0.9142857142857143,114,0
BOLIVAR,SAN JACINTO,28,102905375,46396000,2014,AGUACATE,PERMANENTE,11.5,1.0,417,0
BOLIVAR,EL CARMEN DE BOLIVAR,36,105935400,68345000,2013,PLATANO,PERMANENTE,10.0,0.75125,713,0
AMAZONAS,LETICIA,40,123196760,33974190,2014,COPOAZU,PERMANENTE,5.5,0.7297297297297297,457,2
CALDAS,FILADELFIA,36,110292575,74395125,2014,AGUACATE,PERMANENTE,35.0,0.7352941176470589,409,0
CAUCA,CALDONO,12,38640000,8173500,2015,CAÑA PANELERA,PERMANENTE,4.2,0.8511627906976744,92,0
BOYACA,"CÓMBITA, BELÉN, TUTAZÁ, VENTAQUEMADA, TUNJA, SORACÁ, TURMEQUÉ, TOCA, VIRACACHA, MOTAVITA, GUICAN, ÚMBITA, TUTA, SIACHOQUE, SAMACÁ, AQUITANIA, CUCAITA",347,3618584000,1455284620,2017,PAPA,TRANSITORIO,14.13967684021544,0.9421033946781157,955,1
CAUCA,CALDONO,96,216000000,110438400,2015,CAÑA PANELERA,PERMANENTE,4.2,0.8511627906976744,89,0
GUAVIARE,SAN JOSE DEL GUAVIARE,56,206975980,90766000,2014,PIÑA,PERMANENTE,25.0,0.2926829268292683,336,2
VICHADA,PUERTO CARRENO,84,254018228,110912250,2014,YUCA,ANUAL,11.68222222222222,0.8945903308989495,997,0
CAUCA,"SANTANDER DE QUILICHAO, TORIBÍO",16,410400000,189208102,2016,TOMATE,TRANSITORIO,33.21751811594203,0.9280274319951272,927,0
CALDAS,"AGUADAS, SALAMINA, MANZANARES, PENSILVANIA, MERCED, SUPÍA",291,1499984371,166700718,2016,AGUACATE,PERMANENTE,9.664391143911438,0.6107572810302274,939,3
BOLIVAR,SAN JACINTO,0,136008000,22260000,2012,ÑAME,ANUAL,12.0,1.0,902,0
CUNDINAMARCA,SILVANIA,48,169682466,225982802,2013,HABICHUELA,TRANSITORIO,7.0,1.0,597,0
CHOCO,RIOSUCIO,564,1884038150,1082175000,2013,PLATANO,PERMANENTE,11.95,0.875,615,1
CAUCA,BUENOS AIRES,40,90000000,24100000,2015,PLATANO,PERMANENTE,5.0,0.9555555555555556,94,0
HUILA,PITALITO,70,232852000,1225999000,2017,CAFE,PERMANENTE,1.11,0.836232980332829,11,1
CASANARE,CHAMEZA,76,280878900,98239500,2014,AHUYAMA,TRANSITORIO,14.0,1.0,396,0
PUTUMAYO,VILLAGARZON,28,0,0,2013,PLATANO,PERMANENTE,5.88,0.6920415224913494,535,0
NORTE DE SANTANDER,SAN CALIXTO,76,293664000,161310000,2015,TOMATE,TRANSITORIO,27.5,1.0,43,0
NORTE DE SANTANDER,SARDINATA,44,170016000,62075000,2015,YUCA,ANUAL,15.0,0.6666666666666666,42,0
HUILA,LA PLATA,44,135507800,38100000,2014,MARACUYA,PERMANENTE,17.0,0.9037037037037037,329,0
TOLIMA,ATACO,28,103364000,28992000,2014,FRIJOL,TRANSITORIO,1.725,0.9611320754716981,167,0
TOLIMA,LIBANO,4,14141750,10375000,2013,CAÑA PANELERA,PERMANENTE,4.0,1.0,499,0
CAUCA,TIMBIO,0,952056000,341898058,2012,PLATANO,PERMANENTE,12.0,0.8733974358974359,882,0
CUNDINAMARCA,PACHO,12,35087116,15611700,2013,PAPA,TRANSITORIO,13.5,0.7367121848739496,601,2
VALLE DEL CAUCA,YOTOCO,0,149608800,28780920,2012,PIÑA,PERMANENTE,50.0,0.2857142857142857,761,2
CALDAS,SUPIA,60,184787250,57456000,2015,MARACUYA,PERMANENTE,22.0,1.0,100,0
BOLIVAR,EL CARMEN DE BOLIVAR,116,428735565,221871875,2014,AJI,TRANSITORIO,8.0,0.8500000000000001,426,0
SUCRE,OVEJAS,100,0,0,2014,YUCA,ANUAL,10.0,0.6,178,0
ANTIOQUIA,TURBO,144,532186800,173204000,2014,YUCA,ANUAL,11.0,1.0,444,3
BOLIVAR,SAN JACINTO,84,310456149,123959750,2014,AGUACATE,PERMANENTE,11.5,1.0,416,0
VALLE DEL CAUCA,EL CAIRO,0,190389,63027,2012,LULO,PERMANENTE,14.5,0.6666666666666666,766,2
CAUCA,GUAPI,0,1326078000,1943144400,2012,COCO,PERMANENTE,8.4,0.4639175257731959,888,1
CAUCA,CALDONO,0,380000000,161500000,2013,PIÑA,PERMANENTE,6.0,1.0,663,0
SUCRE,OVEJAS,12,36959281,13503000,2014,YUCA,ANUAL,10.0,0.6,177,0
