DEPARTAMENTO,MUNICIPIO,Total beneficiarios,Valor cofinanciación,Valor Contrapartida,YEAR,CP,CICLO_CULTIVO,RENDIMIENTO,PRODUCTIVIDAD,key,cluster
SUCRE,OVEJAS,28,99028235,29810430,2013,PLATANO,PERMANENTE,6.5,0.8461538461538461,519,0
AMAZONAS,LETICIA,16,0,0,2014,COPOAZU,PERMANENTE,5.5,0.7297297297297297,453,2
CHOCO,"ALTO BAUDÓ, MEDIO BAUDÓ Y TADO",300,1500000000,1632000000,2017,CACAO,PERMANENTE,0.36718181818181755,0.5788464676908923,931,1
NORTE DE SANTANDER,TEORAMA,76,293664000,241195500,2015,NARANJA,PERMANENTE,10.0,1.0,39,0
NARIÃ‘O,LA UNION,56,153199167,38417000,2013,MAIZ,TRANSITORIO,1.866666666666667,1.0,551,0
MAGDALENA,FUNDACION,0,299115,51870,2012,BANANO,PERMANENTE,37.0,0.9666666666666667,821,0
CORDOBA,PUERTO ESCONDIDO,36,110879500,48782000,2014,COCO,PERMANENTE,10.9,0.9866666666666667,351,0
NARIÃ‘O,ILES,76,244272800,62912000,2015,ARVEJA,TRANSITORIO,2.45,0.8488888888888889,66,0
NARIÃ‘O,CUMBAL,68,67000000,78830000,2014,PAPA,TRANSITORIO,16.5,0.969047619047619,277,0
NARIÃ‘O,FUNES,180,405000000,172800000,2015,CEBOLLA DE BULBO,TRANSITORIO,12.0,1.0,67,0
BOLIVAR,EL CARMEN DE BOLIVAR,0,0,0,2012,AJI,TRANSITORIO,8.0,0.8416666666666667,908,0
MAGDALENA,ARIGUANI,0,258414900,15285000,2012,YUCA,ANUAL,7.5,0.6459948320413437,823,0
LA GUAJIRA,DIBULLA,0,340020000,16981333,2012,BANANO,PERMANENTE,12.0,0.6696428571428571,842,2
META,FUENTE DE ORO,56,172480000,62652200,2014,PLATANO,PERMANENTE,17.0,0.85,296,0
CHOCO,LLORO,84,516402000,416638000,2013,CAÑA PANELERA,PERMANENTE,3.0,0.75,618,0
CUNDINAMARCA,PACHO,4,0,0,2013,PAPA,TRANSITORIO,13.5,0.7367121848739496,598,2
MAGDALENA,SANTA MARTA,0,95205575,37925000,2012,PAPAYA,PERMANENTE,22.0,0.8758620689655172,817,0
VALLE DEL CAUCA,BUENAVENTURA,262,2801926566,956060000,2019,COCO,PERMANENTE,11.948333333333332,0.9923325663814614,982,1
BOLIVAR,EL CARMEN DE BOLIVAR,104,384383999,193062000,2014,AJI,TRANSITORIO,8.0,0.8500000000000001,423,0
ANTIOQUIA,CAREPA,136,492820370,129135000,2013,MARACUYA,PERMANENTE,18.0,0.75,758,0
MAGDALENA,FUNDACION,36,133056000,45413750,2014,ÑAME,ANUAL,8.0,1.0,312,0
RISARALDA,GUATICA,40,147830000,34710000,2014,BANANO,PERMANENTE,26.0,0.9016393442622951,184,0
HUILA,LA ARGENTINA,96,354808000,93520000,2014,AGUACATE,PERMANENTE,10.0,0.3157894736842105,332,2
CAUCA,CALDONO,52,167440000,85124000,2015,CAÑA PANELERA,PERMANENTE,4.2,0.8511627906976744,88,0
